surname,speaker,previous_surname,previous_speaker,speech
break,break,break,break,break
"fazio","Mr. Fazio","","","    Well, thank you, Mr. Chairman. And I first want \nto congratulate you on initiating this series of hearings. Your \ninterest in this subject area and your knowledge about it are \nwell-known and well-respected.\n    I look forward to trying to put together the kind of \nproduct you indicated that you wanted to make the hallmark of \nthis committee. Since this is a leadership Committee, I think \nit will be also important that our leaderships be willing to \nwork together, if we are going to report out anything that \ncould resemble a bipartisan or consensus approach to campaign \nfinance reform.\n    I want to welcome the Speaker and later on our leader, Dick \nGephardt, will join us as well. I think we value your marquee \ncontribution to this effort today. I think it does bring \nattention to the fact that we are, once again, about to delve \ninto one of the most controversial and difficult areas that we \nlegislate in. We have 435 plus experts on the subject, all of \nwhom have run successful for office, at least once.\n    The need for campaign reform is increasingly obvious, with \nevery passing election. The cost of communicating with our \nconstituents, the citizens who elect us, is growing enormously. \nAll of us struggle with the amount of time which we are \nrequired to devote to fund-raising alone. It probably is the \ngreatest cost to our modern campaign ritual. But let me say \nthat I think the biggest problem we face is the developing, \nperhaps it is already here, total crisis and confidence that \nhas developed over not only the electoral process but also over \nthe process of governing which flows right out of it. We have \nfar too little trust of the public at the moment, and I think \nour efforts here today are on the part of all of us designed to \nsee if we can do something to recover that."
break,break,break,break,break
"","","fazio","Mr. Fazio","    But despite the general consensus that reforms are needed, \nthe task of coming up with something that suffices is \nenormously difficult. Americans react to the way of financing \ncampaigns in many different ways, but I think two are the most \nobvious and at the same time contradictory. On the one hand, \npeople believe that campaign money buys elections that, in \neffect, public officials are bought in the electoral process. \nWe hear a lot of rhetoric about special interests and PACs and \nfat cats and all the rest. At the same time, in most election \nyears, 20 million Americans choose willingly to contribute to \ncampaigns. They do so in many cases with strong feelings of \nvirtue, because they, as groups and individuals, think that the \nmoney they contribute really does go to the furtherance, not \nonly of what is in their interest but their ideals and their \ngoals for the country. So at the same time that we bash \npoliticians and dump on the system of electing them, we find \nmany, many people willingly participating in them.\n    So it is not clear today that this issue, which has grown \nincreasingly difficult to deal with, can be resolved in terms \nof ways that really improve the system. We are all much better \nat describing the problem than coming up with a consensus, an \nalternative to the current system.\n    So let me state from the outset that despite the very \nnegative coverage that the media gives our system, and it is \nalmost unanimously critical from differing perspectives on \noccasion, this is, as the Chairman has already said, the most \ndiscloseable, most accountable system of any government at \nanytime in history.\n    Our constituents have available to them our official \npersonal finances, our office accounts, our campaign finances. \nThere is nothing about us or the political system we \nparticipate in that isn't available. And despite the claims of \nsome so-called reformers, this body has not failed to take up \nthe issue of campaign reform. In fact, as the Chairman has \nindicated, we are still operating with a much amended by the \nCourt law that is 20 years old but we have attempted on many \noccasions to delve into this area. Three, as a matter of fact, \ntimes in the last Congresses we have passed reform bills. They \nhaven't become law. I am sure they were imperfect in many ways \nand I know there were partisan differences over them. But they \nwere the product of tremendous effort, some attempts to reach \nconsensus and they were all, I think, a step in the right \ndirection, even if they did not accomplish their ultimate \npurpose, a truly bipartisan breakthrough.\n    So, Mr. Chairman, I think this series of hearings is the \nway we really ought to once again review the bidding on how to \ngo about financing and conducting Federal elections. Hopefully, \nit will provide a real foundation for all of us to build the \nkind of legislation that I think would once again help restore \nsome confidence in our representational form of government.\n     Mr. Chairman, there are a lot of things that need to be \nsaid about the subject of today's hearing, PACs and related \nissues. I hope we will have a chance, in dialoguing with our \ncolleagues, to make some of those points. I think it is fair to \nsay that many of the ideas that we will hear today have been \naround the track before. This is not an area where there has \nbeen a lot of new and creative thinking. Perhaps it is too much \nto ask of the mere mor"
break,break,break,break,break
"","","fazio","Mr. Fazio","tals on this committee but perhaps we can break through and fully \nunderstand the implications of not only what we have done in \nthe past but some of the panaceas we will have offered today \nabout fixing the present.\n     I hope people will think big thoughts and come up with \nsome new concepts, because in the past, we have been victimized \nby Murphy's Law more often than not. In fact, all of the \nefforts to bring about the disclosure, the accountability that \nthe PAC system personifies were done in the name of reform. \nThis was a way of bringing middle management, white collar \nworkers into the political process, equivalent to what the \norganized labor movement had brought about.\n     When former Representative Clark MacGregor, Republican of \nMinnesota, led the charge to bring PACs into being, it was all \nabout getting away from the Watergate problems of the 1970s, \nthe under the table, the soft money and all of the large \ncontributions that appalled the public. So when we look to \nfixing the problem, let's remember, we fixed it so many times \nbefore that we now have an even bigger one. Let's begin also by \nassuming that if we don't fully fund the FEC, whatever we put \nin place will not be adequately monitored and enforced.\n     So, Mr. Chairman, we bite off a lot today, but I think it \nis time, and I think this committee has the capability to put \ntogether a product that might make us all proud.\n    Thank you.\n     The Chairman. Thank you."
break,break,break,break,break
"","","fazio","Mr. Fazio","    <GRAPHIC(S) NOT AVAILABLE IN TIFF FORMAT>"
break,break,break,break,break
"","","fazio","Mr. Fazio","    <GRAPHIC(S) NOT AVAILABLE IN TIFF FORMAT>"
break,break,break,break,break
"","","fazio","Mr. Fazio","    <GRAPHIC(S) NOT AVAILABLE IN TIFF FORMAT>"
break,break,break,break,break
"","","fazio","Mr. Fazio","     The Chairman. Now it is my honor and privilege to \nrecognize the Speaker of the House, the gentleman from Georgia, \nMr. Gingrich, for such time as he may consume."
break,break,break,break,break
"","","fazio","Mr. Fazio","<DOC>\n   STATEMENT OF HON."
break,break,break,break,break
"","","fazio","Mr. Fazio","    Speaker Gingrich. Well, let me thank both of you for what I \nthink is exactly the right tone in starting these hearings, \nwhich I think could be of historic importance. I came to the \nCongress with Chairman Thomas. We both came to serve on this \ncommittee, and I served prior to becoming Speaker on this \ncommittee with a great sense of contribution on a bipartisan \nbasis and working with my colleagues on both sides, both in \nrunning the House but also in looking at election reform.\n     I want to confess that frankly one of the areas--and I \nthink what Mr. Fazio said is absolutely the hallmark of how we \nshould be approaching this. In the 1970s we adopted a whole \nseries of things we thought would work. We are now told that in \nmany ways the reforms are the problems.\n     We also--and I will give you an example in my personal \nexperience. I once co-authored--or authored a preface to a book \ncalled ``A Nation of Associations,'' in which I praised the \npolitical action committee system because in the late '70s and \nearly '80s, it seemed like the logical place to have people \nvoluntarily organizing their effort in a manner you could trace \nand understand, and it fit what we thought in the late '70s \nwere the problems of the Watergate period.\n     Then I read Brooks Jackson's marvelous work on ``Honest \nGraft,'' which showed how brilliantly our former colleague, Mr. \nCoelho, came to dominate the PACs in Washington and how they \nbecame an instrument of Washington. And I would say to all of \nyou with a certain cheerfulness and a wry sense of amusement \nthat now that we are the majority, it turns out that everything \nMr. Coelho did works; and that, in fact, to a discouraging \ndegree, the political action system has become an arm of the \nWashington lobbyists, and in fact simply follows power without \nideology; and is, in fact, not an appropriate system for the \nexpression of citizen concern, although I think on a \nconstitutional basis it is probably not something we should \nban, but rather something we should rethink from the ground up.\n     But the point that Mr. Fazio made is where I want to \nstart, that all too often when we have someone who has their \nsingle magic solution which will cure everything because they \ndon't have any historic understanding of it, they haven't been \nthrough it, they haven't thought about it over a long period of \ntime, and they may be asking the wrong questions.\n     I believe we need a very profound overhaul of our \npolitical system. I think we have to look at lobbying, at \ncampaigns, at parties, at the behavior of incumbents, of the \nnature of Washington, what is happening as we shift into an \ninformation age. I think candidly there are grave threats to \nthe survival of American freedom and self-government as we know \nit.\n     But the threats aren't necessarily those that Common Cause \ntargets. The rise of media oligarchies, including Mr. Rupert \nMurdoch--who many of you have attacked me about--but all the "
break,break,break,break,break
