surname,speaker,previous_surname,previous_speaker,speech
break,break,break,break,break
"jeffords","Senator Jeffords","","","    The hearing will come to order.\n    I believe we have before us a very important task of \nreviewing legislation that will enhance the security at our \nNation's nuclear power plants and other civilian facilities \nthat utilize radioactive materials for commercial or research \npurposes. In his State of the Union address, President Bush \ninformed us that authorities had found, among other things, \ndiagrams of nuclear power plants in America in terrorist caves, \nalong with surveillance maps of American cities.\n    In February, the U.S. Nuclear Regulatory Commission \nresponding to an FBI report issued a warning of potential \nairline attacks against a U.S. nuclear power plant. Numerous \nmedia accounts had analyzed in detail the possibility of \ncreating dirty bombs from a combination of readily available \ncommercial sources of radiation and common explosives. We all \nknow that the credibility of these threats is inherently \ndifficult to pinpoint. But we all also know of the seriousness \nwith which these must be viewed and it has changed forever \nsince September 11.\n    These are sobering times. I commend the U.S. Nuclear \nRegulatory Commission, whose chairman, Richard Meserve, is with \nus this morning, for the prompt and comprehensive efforts of \nthat Agency to address threats to our civilian nuclear \nfacilities. I have been briefed on the fact that they have \nplaced our Nation's commercial nuclear reactors on the highest \nstate of alert since September 11 and that they are conducting \na top to bottom review of their safeguards and security system. \nThis includes working closely with the intelligence community \nand others to coordinate all necessary programs.\n    They have also established a new office of nuclear security \nand incident response to consolidate certain NRC security \ndivisions. They have assured us that they are taking every \nprecaution to ensure safety at our nuclear facilities. I am \nalso aware, however, of a variety of criticisms and concerns \nthat have been leveled at safety procedures of our nuclear \nfacilities in the past. In spite of as much as a 6-months \nadvance notice, up to half our Nation's nuclear power plants \nhave performed below, that's below, the NRC's minimum security \nrequirements during NRC-sponsored mock terrorist activities.\n    Because of resource constraints, the NRC has since tested \nsecurity at each nuclear plant only once every 8 years. The \ncurrent design basic threat which set standards for actions \nfacilities must take to defend against attack has not been \nsignificantly revised in over 40 years and do not envision the \ntype of terrorist attack we now assume is possible following \nthe events of September 11. There are significant concerns both \nabout the design of the plants, the ability to defend against \ninside sabotage, and the location of spent fuel product.\n    Former employees have complained of inadequate training and \nbackground checks of security guards and other personnel. These \ninconsistencies must be reviewed and must be remedied. We must \ntake strong and focused action to ensure that terrorists \ncontinue to view our nuclear plants as undesirable targets that \nare strongly protected and difficult to damage. It is the duty \nof this Congress and this committee in particular to make sure \nthat there is effective coordination and cooperation between \nlicensees, the NRC, appropriate Federal agencies and State and \nlocal government, preventing criminal and terrorist access to \nour nuclear power plants and radioactive materials.\n    As the House and Senate, in cooperation with the \nAdministration, proceeds this week with intelligence hearings \non the events leading up to the September 11 attack, this need \nfor effective coordination among the various agencies \nresponsible for security is starkly highlighted. We have been \nwarned, we know these are possible targets. We know there have \nbeen problems in the past. We must allocate the resources to \nfully address these concerns.\n    A single successful attack would make it clear, in \nhindsight, that it would have been worth the effort. An \nunsuccessful attack will make it sure that we did the job well. \nIt is my intent to work with my colleagues on this committee \nand with the Nuclear Regulatory Commission to quickly pass \nlegislation out of this committee that will ensure strong, \nconsistent and reliable standards for protection of our \ncivilian nuclear facilities. We cannot and will not allow the \nfear factor to hamper our committees.\n    It is necessary for the public to know that strong measures \nare in place to protect their homes and families against attack \nby those who hate us and our ways of life. As chairman of the \ncommittee, I intend to see such measures taken. I trust I will \nhave the full support of the Nuclear Regulatory Commission and \nmy colleagues in this important matter.\n    Senator Smith."
break,break,break,break,break
"","","jeffords","Senator Jeffords","  OPENING STATEMENT OF HON."
break,break,break,break,break
"smith","Senator Smith","jeffords","Senator Jeffords","    Thank you very much, Mr. Chairman. Ensuring \nour power plant safety, our nuclear energy facility safety is \nof course of the utmost importance to this committee but also \nto all Americans. It especially hits close to home for those of \nus who have power plants in our States, as I do, and as many in \nthis committee do. It is vital that we as a committee be \ninformed and do all that we can to ensure that these assets are \nindeed safe, secure, and protected.\n    These facilities are, I might add, among the most protected \nstructures in the Nation. But it doesn't mean that there aren't \nadditional steps that can be taken to enhance that security. \nLast year, Senator inhofe and I introduced legislation together \nthat would accomplish that goal. We had provisions in the bill \nthat the NRC has requested for many years, provisions that the \nSenate passed in the last Congress by unanimous consent.\n    These are common sense enhancements and I have spoken \ndirectly about them to several members of the Commission, \nincluding the chairman. I know that Senator Reid also has \nlegislation and I'm hopeful that we can work together in a \nbipartisan way to reach agreement on that legislation.\n    But as we move this process forward, it's important that we \nwork with the security experts and resist efforts from those \nwho want ``added security'' as a means to further an anti-\nnuclear agenda. If that's where we go in this process, then we \nare going to fail in what we wish to accomplish. We have to do \nit the right way. I'm very anxious to hear from Chairman \nMeserve on what the Nuclear Regulatory Commission has been \ndoing to increase security and what plans exist to update the \ndesign basis threat.\n    But unfortunately this is not, with all due respect, Mr. \nChairman, the forum to do it. We're not going to be able to get \nall the information this committee deserves and needs to know \nin an open forum. I'm very much a strong advocate of the right \nto know and shining the light on our hearings and not keeping \ninformation from the media if we don't have to. But some of the \ninformation that we need to discuss today is classified as \nsafeguards and some is secret, all of which is on a need-to-\nknow basis, little of which is suitable for an open, televised \nhearing.\n    Mr. Chairman, as you know, myself and Senators Inhofe, \nVoinovich and Domenici requested that this at a minimum be a \nclosed hearing. On the Armed Services Committee, of which some \nof us are members here, frequently when we have situations like \nthis we have an open hearing, very briefly, and then go to a \nclosed hearing and get into the sensitive materials or \ninformation that we need to know as a committee. To the best of \nmy knowledge, no such followup hearing has been scheduled.\n    So in essence, our request for a closed hearing was denied \nor ignored. Now we're going to talk about nuclear security, \nabout all of our power plants, in front of the entire world on \nC-SPAN, including all those who may wish to do us harm. I find \nthis absolutely unbelievable that we're doing this. I would \njust say, as a caution to witnesses, if you don't feel \ncomfortable answering a question, in spite of the fact that you \nmight get chastised by a Senator, I wouldn't answer it. Because \nfrankly, aggravating a Senator as opposed to providing \ninformation that may let the terrorists find out what's going \non in our security of our nuclear power plants, frankly, that's \na fair exchange as far as I'm concerned. It's not going to \naggravate this one.\n    I would note also that the House Committee has held only \nclosed and classified hearings on this topic. The chairman \nmentioned in his opening remarks about what we found in the \ncaves of Al Qaeda. What do we want to be talking about that for \nin a public session? We almost slipped up, Senator Inhofe \ncaught it when he was doing his homework last night, a \npotentially damaging mistake, while reading through the \ntestimony, information that has been classified at the NRC as \nsafeguards that was included in some of the written testimony \ntoday. I'm not blaming the witnesses for that. The witnesses \nare trying to answer and be responsive.\n    But this is not the forum, in front of the cameras, all \nover the world, to do this. The Government has deemed it \nsensitive enough so as to strictly limit access to only those \nwho need to know. I'm talking about safeguards, I'm not talking \nabout necessarily classified or secret, as we call it in the \nformal sense. But there is a need-to-know basis, and I can tell \nyou that everybody watching C-SPAN today does not need to know \neverything that we need to talk about here this morning.\n    I understand that this information has leaked before. I've \nread it, I read it in USA Today. But that doesn't mean that we \nhave to further that and add to it and supplement it and give \nit credibility. That's not what we do. If something is \nclassified or listed as safeguards and it's in the newspaper, \nit doesn't mean we have to comment on it and make it worse. But \nit does underscore the point that these witnesses believe this \nis important information that we should have, but we just can't \nget it in this hearing.\n    This is a completely open forum, I repeat again, completely \nopen, national TV, world TV, let alone national, world TV \ncoverage. It's safe to assume that those who want to hurt us \nare going to be watching. Good morning to them.\n    If you have any thoughts that the information you're \nproviding could be of the slightest use to those who wish to do \nus harm, then please don't answer the question. In order to \nensure that the committee has the opportunity to get the \ninformation, I don't know why we can't commit to a separate, \nclosed and classified hearing prior to moving away, moving \ntoward any other comprehensive legislation. This will allow us \nto make the right decisions. It's vital for this committee to \nvigorously conduct oversight, and we can't do it this way.\n    Since 9/11, I've visited Seabrook, I've communicated with \nthe guards, I've met with the NRC chairman, I've met with the \ncommissioners, I've talked to those who provide the security at \nSeabrook. We held a press conference after it with one of the \nmembers of the NRC. We didn't talk about all the safeguards. We \ndidn't talk about what we do when somebody attacks the plant, \nif they attack the plant or how we might react to that or how \nmany people we have at the plant to protect us or what kind of \npeople they are or what weapons they have. We don't talk about \nany of that.\n    It's clear that these are things we need to talk about, \nfrankly, but not here. So frankly, Mr. Chairman, unless there's \na commitment made for me to the committee that we're going to \nhave a classified hearing or a closed hearing somewhere in the \nnear future as a follow-on to this, I will yield all of my \nquestions to anyone else who might like to ask them. Because I \nhave questions that I would like to ask in a closed forum.\n    Thank you, Mr. Chairman."
"jeffords","Senator Jeffords","smith","Senator Smith","    Thank you. I would just point out to you \nthat we held a closed hearing. We held it last fall. No one----"
"smith","Senator Smith","jeffords","Senator Jeffords","    That was a briefing, Mr. Chairman, with all \ndue respect. That was a briefing."
"jeffords","Senator Jeffords","smith","Senator Smith","    It was a hearing----"
"smith","Senator Smith","jeffords","Senator Jeffords","    It was not a hearing."
"jeffords","Senator Jeffords","smith","Senator Smith","    It was an opportunity and no one showed \nup except me. But it's amazing what happens when you make a \npublic hearing and you have the TV cameras, and we almost get \neverybody. So just to point that out, we are not going to \nbreach any security, and we certainly feel if it's appropriate, \nwe will have one where the security aspects will apply.\n    But right now, this is also, looking at the large audience \nwe have, very obvious that the public has a great interest in \nknowing and has a great right to know what is going on. This \nhearing is to make sure that the public of the United States \nhas the background necessary for them to understand fully the \nproblems that we're facing.\n    Senator Reid."
break,break,break,break,break
"","","jeffords","Senator Jeffords","  OPENING STATEMENT OF HON."
break,break,break,break,break
"","","jeffords","Senator Jeffords","    Senator Reid. Mr. President, I only watch the highest class \ntelevision, I was watching Headline News this morning. There \nthey had a short piece on distributing to people in New York \niodine, some kind of potassium iodide, so that if there is a \nproblem in one of these nuclear facilities, they would have in \ntheir medicine cabinet these pills they could take to stop the \ndamage done by nuclear things floating through the air. So this \nis something the American people are really concerned about, as \nthey should be.\n    So I appreciate very much the concern of Senator Smith. But \nalso, we have concerns, the American people have, all over \nAmerica, people are concerned about another Three Mile Island, \nanother Chernobyl. We have a responsibility, this committee has \na responsibility, the Nuclear Regulatory Commission. Chairman \nMeserve has always been willing to come. I'm sure he dreads it \nthe night before, but that's the way it is. But he's always \nbeen willing to come and share whatever information he has, \neven though he knows that some answers he gives we don't like. \nBut he's been very candid with us, and I appreciate that.\n    The tragedy of September 11 has taught us many things. It \ntaught us the importance of first responders. It taught us the \nvulnerability of our Nation's buildings and the strength of our \nNation's resolve. Finally, it taught us that we must be \nprepared for today's threats, because they could become \ntomorrow's attacks.\n    Last year I introduced legislation with Senators Clinton, \nLieberman and Jeffords to improve the safety of our Nation's \nnuclear power plants. I appreciate the willingness of Senator \nJeffords, as chairman of this committee, to hold this hearing \nand take a look at this legislation. I also appreciate \nCongressman Markey, who has worked so hard on these issues. He \nhas done a tremendous job working to make our Nation's nuclear \npower plants as safe as they can be. As someone who has served \nwith this fine man, in the House of Representatives, I \nappreciate that his voice is heard in the Senate and all over \nthe country.\n    I'm disappointed, however, that the Nuclear Regulatory \nCommission has not chosen to do what I believe is its job with \nthe same commitment to the safety of our Nation and the \nintegrity of our electric supply. When Senators Clinton, \nLieberman, Jeffords and I introduced our legislation, we \nintended to start a dialog, how we make our Nation's commercial \nnuclear power plants safer than they were before September 11. \nMany of you here today have strong views on that legislation. \nWe intend to listen to those before a final draft comes out of \nthis committee, of course, we all have to do that.\n    But when plants are failing nearly half of their security \nevaluations, we need to more than update the curriculum. We \nneed a new system, I believe. There are some plants that do a \nreasonably good job. But it's not to have peaks of success. We \nneed a high plateau that secures all plants.\n    Our bill also requires the Nuclear Regulatory Commission to \ntake a new look at the threats posed by terrorists. Our bill \nalso establishes a rigorous training and evaluation program for \nthe Nuclear Security Force. I must say, members of this \ncommittee and you, Mr. Chairman, we in Nevada have had some \nexperience. Nuclear devices were assembled there for some 50 \nyears. We had all kinds of concerns about the safety.\n    Chairman Dingle, when he was chairman of the Commerce \nCommittee in the House, established a very rigorous physical \nprogram for security personnel there, so that if somebody tried \nto breach this perimeter, which was very close to the outside \nworld, that somebody could run 50 yards and grab somebody, the \nphysical training of those people was very bad. It was \ndifficult, it was made harder to have people work there, but it \nwas really important in the long run.\n    So I think this is important, that we established a \ntraining program and an evaluation program for our nuclear \nsecurity force, one that is constant and persistent. A new \noffice will be established within the Regulatory Commission \nwith a dedicated team of mock terrorists whose only job is to \nperfect their skills in challenging the security guards. I see, \nMr. Chairman, when professional sports teams practice, they \ndon't do it against amateur athletes playing in the park. They \ntrain against other professionals. Nuclear security personnel \nshould do the same.\n    Our bill will honor the sacrifice of our Nation's emergency \nresponders by ensuring that emergency response plans are in \nplace and work as we expect them. Finally, we will require \nstockpiles of medicine to help in the event of a release of \nradioactive material from a nuclear facility. We have drafted a \ncomprehensive bill that will protect our Nation's nuclear \ninfrastructure. The American people have told us how they \nwanted their airlines and airports protected. We're doing our \nbest to follow what they want and what they need and what they \nshould have. We will work to make sure that questions about the \nsafety of our Nation's nuclear power plants are answered.\n    It's time that we give the American people these answers. \nToday I hope we will have a constructive dialog about the ways \nto make our nuclear power plants safer. More importantly, I \nhope today will be the springboard we need to pass legislation \nin the Senate that accomplishes this goal. I hope we can do \nthis, as Senator Smith has said, on a bipartisan basis. We all \nhave different ideas as to how we can do this. But we need to \ndo it, and we're all going to have to give a little and take a \nlittle to come up with a bill that will be good for the \ncountry.\n    Thank you."
"jeffords","Senator Jeffords","jeffords","Senator Jeffords","    Senator Bond."
break,break,break,break,break
"","","jeffords","Senator Jeffords","        OPENING STATEMENT OF HON."
break,break,break,break,break
"bond","Senator Bond","jeffords","Senator Jeffords","    Thank you very much, Mr. Chairman, for \nholding this very important hearing on security issues facing \nour Nation's nuclear power plants. Security at nuclear power \nplants is an important issue, I think, in communities in almost \nevery State in the Nation. My home State of Missouri has both a \ncommercial nuclear power plant and research reactors, including \none of the foremost nuclear medicine reactors in the Nation. My \nhome in Mexico, MO is less than 25 miles from the nuclear power \nplant in neighboring Calloway County.\n    We depend upon the power generated by nuclear power plants. \nNot only does it supply 20 percent of the country's power \nneeds, it does so with absolutely no air pollution. Frankly, \nI'd prefer to have a nuclear power plant in my back yard than a \nfossil fuel burning plant. France, in this instance, is way \nahead of us with 80 percent of its power generated by non-air \npolluting nuclear power.\n    As we consider ways to reduce air pollution in electric \npower generation, as we seek to deal with global warming, I \nbelieve we will only be serious when we change the rules so \nthat we can rely more heavily on nuclear power which will clean \nup our air and which will reduce the pollutants which lead to \nglobal warming.\n    Our role here in Washington should be to ensure that \nnuclear power is safe, to ensure that operators of nuclear \npower plants have all the tools they need to run safe and \nsecure facilities. But we must not make the situation worse \nwith one-size-fits-all or reactionary answers. We must not be \nsidetracked by those whose hidden agenda is to deprive us of \nthis environmentally clean source of energy.\n    Generally commercial nuclear power plants are probably the \nmost physically secure and least vulnerable of our Nation's \nindustrial infrastructure. They are robust, hardened facilities \nwith numerous redundant systems designed to assure public \nsafety. They are one of the most intensively and \ncomprehensively regulated industries in America. The Nuclear \nRegulatory Commission rules impose comprehensive security \nrequirements, including physical protection systems, armed \ntactical security forces and strict access control at all \nplants.\n    Is this enough? We need to hear if there are other things \nwe can do to make it even safer. I will certainly support \nthose.\n    Nuclear power plants are safe, however, by their own \ninherent design. Typical reactor containment walls are made of \nheavily reinforced concrete up to 6 feet thick. I urge all of \nyou, if you haven't seen it, to view the video tape of a \nGovernment test where they crashed an F-4 jet fighter into a \ncontainment wall at nearly 500 miles an hour. The jet was \nobliterated and the 6-foot wall was penetrated only by 2 \ninches.\n    Nuclear plants are also defended by robust tactical \nsecurity forces. These are not rent-a-cops moonlighting at the \nlocal mall, they are screened, trained professionals, many with \nmilitary or law enforcement experience. Current nuclear power \nsecurity forces are subject to FBI background checks, physical \nand psychological testing, screening and substance abuse \ntesting as part of the hiring process. They undergo rigorous \ntraining, including weapons training, proof of marksmanship, \nrecognition of sabotage devices and equipment and tactical \nresponse training. They are subject to continuous substance \nabuse and physical fitness checks. These are generally highly \nmotivated, well compensated professionals with a retention rate \nabove 90 percent.\n    Private nuclear plant screening forces stand in direct \ncontrast to airport baggage screeners, many of whom are simply \nwaiting to get a better paying job at the airport McDonald's. \nAirport security workers are untrained, unscreened, transitory, \npoorly supervised, poorly regulated and low paid. Unfortunately \nsome would like to apply a cookie cutter approach of \nfederalizing airport security to federalizing nuclear plant \nsecurity.\n    I think we're finding out now the problems in federalizing \nthe airport security, and I think that federalizing nuclear \npower plant security could lessen the security at those plants. \nIt could diminish and disrupt plant security. Effective plant \nsecurity requires close coordination between operators and \nsecurity forces. Creating a separate Federal chain of command \ncould inhibit reaction, coordination and communication when \nmost needed in the face of an attack.\n    It would require the NRC to hire some 5,000 additional \nsecurity employees. Many current security personnel would \nchoose not to be come Federal employees and new security \npersonnel would require years of on the job training. I think \nfederalizing nuclear plant security could also reduce the \nquality of security forces. Screening requirements for Federal \npersonnel in the proposed legislation are less stringent than \nthose already in place in the industry.\n    We do have and we should take the opportunity to see what \nreasonable steps we can take to improve security at nuclear \npower plants. I would like the provisions included in the \nlegislation referred to by Senator Smith, Senator Inhofe and we \ncan build on that, I believe. We can consider empowering \nsecurity forces by eliminating weapons restrictions and \nproviding limited arrest authority. We certainly should oversee \nthe NRC's review of nuclear plant security measures post the \nSeptember 11 attacks. I think the NRC testimony should be very \nhelpful.\n    In summary, I think the nuclear power industry has an \nunparalleled record of health and safety. They also meet \nunparalleled security requirements and must continue to do so. \nI look forward to working with my colleagues on this committee \non any measure that will improve their ability to ensure the \nhealth and safety of our communities.\n    Thank you."
"jeffords","Senator Jeffords","bond","Senator Bond","    Thank you, Senator."
break,break,break,break,break
"","","jeffords","Senator Jeffords","          Statement of Hon. Christopher S. Bond, U.S. Senator \n                       from the State of Missouri"
break,break,break,break,break
"","","jeffords","Senator Jeffords","    Thank you, Mr. Chairman, for holding this hearing on security \nissues facing our Nation's nuclear power plants.\n    Security at nuclear power plants is an important issue for \ncommunities in almost every state. My home state of Missouri has both a \ncommercial nuclear power plant and research reactors. In fact, my home \nin Mexico, Missouri is no more than 30 miles from the nuclear power \nplant in neighboring Callaway County.\n    Missouri, and the Nation, depend upon the power generated by \nnuclear power plants. Not only does nuclear energy supply 20 percent of \ncountry's power needs, it does so with absolutely no air pollution.\n    This Committee is considering ways to reduce air pollution from \nelectric power generation. We must keep nuclear power as a valuable and \nenvironmentally friendly solution to meet our energy needs.\n    Our role here in Washington is to ensure that the operators of \nnuclear power plants have all the tools they need to run safe and \nsecure facilities. We must not make the solution worse with one-size-\nfits-all or quick, reactionary answers. We must not be sidetracked by \nthose whose real hidden agenda is to deprive us of this environmentally \nclean source of energy.\n    Commercial nuclear plants are probably the most physically secure \nand least vulnerable of our nation's industrial infrastructure. They \nare robust, hardened facilities with numerous redundant systems \ndesigned to assure public safety.\n    They are one of the most intensively and comprehensively regulated \nindustries in America. Nuclear Regulatory Commission rules impose \ncomprehensive security requirements including physical protection \nsystems, armed tactical security forces, and strict access control at \nall plants.\n    Nuclear power plants are safe by their own inherent design. Typical \nreactor containment walls are made of heavily reinforced concrete up to \nsix feet thick. I urge all of you, if you haven't seen it, to view the \nvideotape of a government test where they crashed an F-4 jet fighter \ninto a containment wall at nearly 500 miles per hour. The jet was \nobliterated and the 6-foot wall was penetrated only 2 inches.\n    Nuclear power plants are also defended by robust tactical security \nforces. These are not rent-a-cops moonlighting at the local mall. These \nare highly screened, highly trained professionals, most with former \nmilitary or law enforcement experience.\n    Current private nuclear power plant security forces are subject to \nFBI background checks, physical and psychological testing and screening \nand substance abuse testing as part of the hiring process.\n    Nuclear security forces undergo rigorous training including weapons \ntraining, proof of marksmanship, recognition of sabotage devises and \nequipment, and tactical response training. They are subject to \ncontinuous substance abuse and physical fitness checks. These are \nhighly motivated, well compensated professionals with a retention rate \nabove 90 percent.\n    Private nuclear plant security forces stand in direct contrast to \nairport baggage screeners, many of whom were simply waiting to get a \nbetter paying job at the airport McDonalds. Airport security workers \nwere untrained, unscreened, transitory, poorly supervised, poorly \nregulated and low paid.\n    Unfortunately, some would like to apply a cooky cutter approach of \nfederalizing airport security to federalizing nuclear plant security. \nfederalizing nuclear plant security is not only not needed, it may make \nnuclear power plant security worse.\n    Federalizing nuclear power plant security could diminish and \ndisrupt plant security. Effective plant security requires close \ncoordination between plant operators and security forces. Creating a \nseparate Federal security chain of command could inhibit reaction, \ncoordination and communication when it is needed most, in the face of \nan attack.\n    Federalizing nuclear plant security would require the NRC to hire \n5,000 additional security employees. Many current security forces would \nchoose not to become Federal employees leading to security force \nshortages. New security personnel would require years of on-the-job \ntraining to match the professionalism of current forces.\n    Federalizing nuclear plant security could also reduce the quality \nof security forces. Screening requirements for Federal personnel in \nproposed legislation are less stringent than those already in place in \nthe industry.\n    We do have the opportunity to improve security at nuclear power \nplants. We can consider proposals which empower security forces such as \nreducing weapons restrictions or providing limited arrest authority. We \ncan also closely oversee NRC's review of nuclear plant security \nmeasures post the September 11th attacks.\n    The nuclear power industry has an unparalleled record of health and \nsafety. They also meet unparalleled security requirements and must \ncontinue to do so. I look forward to working with my colleagues on any \nmeasure that will improve their ability to improve the health and \nsafety of our communities. Thank you."
break,break,break,break,break
"jeffords","Senator Jeffords","jeffords","Senator Jeffords","    Senator Corzine."
break,break,break,break,break
"","","jeffords","Senator Jeffords","OPENING STATEMENT OF HON."
break,break,break,break,break
"","","jeffords","Senator Jeffords","    Senator Corzine. Thank you, Mr. Chairman. I very much \nappreciate your having this hearing and so do the people of New \nJersey. We have 4 of the 104 nuclear power plants and we're \nvery close to one in our neighbor in New Jersey which has major \nimpact if there were an attack or actually, if there were \nsafety problems. If anything September 11 taught us it was that \nwe need to be prepared. As you suggested in your opening \nremarks and others have noted broadly, there is evidence of \ninterest by the terrorists in nuclear power plants.\n    So I commend your leadership on leading this discussion. \nSenator Reid, Senator Inhofe and certainly Congressman Markey \nfor the leadership in trying to protect our people in a way \nthat is sensible but thorough, one that gives us confidence as \nwe go forward. The concern is real, as I think some of the \ntestimony and the data would show, unsatisfactory results with \na number of the mock attacks, personnel record problems and \nother issues that have occurred in some instances, not \nuniformly, but I think there is time, it is time for revision \nof our processes here.\n    I don't think you have to be anti-nuclear power to believe \nthat we ought to do everything that is necessary, belt and \nsuspenders, to provide the kind of security I think the \nAmerican public, I know the people in my State, are looking for \nand the rules are dated and need revision and I think that's \nwhat this hearing is about. So I think it's a positive and \nnecessary step to make sure that the public is secure.\n    I would be remiss, Mr. Chairman, if I didn't at this same \npoint, there are 104 of these nuclear power plants that \ncertainly are a concern to our Nation. There are 123 chemical \nfacilities where worst case release of toxic chemicals could \nthreaten more than 1 million people. I know that this issue \ndoesn't get as much headline attention, but I continue to be \nvery concerned, particularly in my home State, that this \nproblem, while not so headline oriented, is just as much of a \nrisk to our communities and the people who live there.\n    So I hope that we may be able to have similar attention, \nfrankly I think that we're organized much more securely, the \ndiscipline associated with the NRC and our State and local \ncommunities with regard to that protection is quite \nsubstantial. I think what we're doing in chemical plant \nsecurity in this country is one that we will feel that we have \nnot taken the proper steps if disaster were to strike. So I \nhope that we can have a similar hearing with a similar element \nof focus as we go forward here.\n    So I thank you and commend you for holding this hearing."
"jeffords","Senator Jeffords","jeffords","Senator Jeffords","    Thank you, Senator. It's an excellent \nsuggestion.\n    Senator Inhofe."
break,break,break,break,break
"","","jeffords","Senator Jeffords","          OPENING STATEMENT OF HON."
break,break,break,break,break
