surname,speaker,previous_surname,previous_speaker
break,break,break,break
"conrad","Senator Conrad","","","    Thank you, Mr. Chairman.\n    I also want to thank our colleagues on the House Budget \ncommittee. Certainly the chairman and the ranking member, \nCongressman Spratt, they could not have been more gracious. \nThey have opened their space to us. They have allowed us to use \ntheir equipment. And it has been enormously helpful, and we \nvery much appreciate their graciousness.\n    Mr. Chairman, I also want to welcome Director Bolten to the \ncommittee. This is a challenging time, certainly for you, for \nthe administration, and for the Congress, as we address what I \nbelieve are deficits that are far too large and growing \ngeometrically. Certainly as we look ahead past the 5-year \nwindow, I think we have to be most concerned about the \ndirection, the fiscal direction of the country.\n    When I look at past statements by the administration, I \nremember very well in 2001 they told us we could have massive \ntax cuts and there would be no deficits, even with an economic \ndownturn. And that proved to be wrong.\n    Then the next year, they told us that the deficits would be \nsmall and short term. That also proved to be wrong. The \ndeficits have been large and long term.\n    Then in 2003, they told us that the deficits were small by \nhistorical standards. That, too, proved to be wrong. These \ndeficits are record deficits.\n    And now this year, we are being told that they are going to \ncut the deficit in half over the next 5 years. And I think we \nhave to ask the question: Will that, too, be wrong?\n    Let me go to just a back-of-the-envelope analysis that \ntells me that will be wrong as well."
break,break,break,break
"","","conrad","Senator Conrad","    The President says in the fifth year the deficit will be \n$237 billion, but he is not counting the $259 billion he is \ngoing to be taking of Social Security surplus funds, every dime \nof which has got to be paid back. He is not counting the $23 \nbillion from the Medicare Trust Fund. He is not counting the \n$55 billion it would take to deal with the alternative minimum \ntax problem, which he is paying for for 1 year but not beyond. \nAnd he has no costs for the residual war cost, the war on \nterror, Afghanistan, Iraq, which the Congressional Budget \nOffice says in that year will be another $30 billion. That is \nover $600 billion being added to the debt."
break,break,break,break
"","","conrad","Senator Conrad","    Just a reality check. I went to the President's budget \ndocument and looked at 2009, and what one sees is the President \nhimself says he is going to add $633 billion to the debt in \nthat year."
break,break,break,break
"","","conrad","Senator Conrad","    So how is it that we have much larger accumulations of debt \nthan the deficit picture that the President asserts would \nprovide?\n    Well, first of all, he is taking all the Social Security \nTrust Fund surpluses over the next decade, $2.4 trillion, and \nnot accounting for it--not accounting for it at least with \nrespect to deficits."
break,break,break,break
"","","conrad","Senator Conrad","    In addition, the tax cut the President is proposing \nexplodes outside the 5-year budget window. He is only looking \nat 5 years, when we all know much of the effect of his \nadditional tax cuts occur beyond the 5-year budget window. This \nis the cost of the tax cuts, including the associated interest \ncost."
break,break,break,break
"","","conrad","Senator Conrad","    And the same is true of the alternative minimum tax that \nwas the old millionaire's tax that now is going to be a middle-\nclass tax because we have two or three million people affected \nby it today. It is going to be 40 million people by the end of \nthe budget period, 40 million people and it costs $658 billion \nto fix. The President has counted 1 year of that cost, but does \nnot have a dime beyond that time."
break,break,break,break
"","","conrad","Senator Conrad","    The same is true of war costs. The Congressional Budget \nOffice says in the 10-year period, $280 billion of cost for the \nPresident's defense policies, war on terror, and yet the \nPresident has no money provided beyond September 30th of this \nyear. They tell us we do not know what the cost will be, but we \nknow the right answer is not zero."
break,break,break,break
"","","conrad","Senator Conrad","    The thing that most concerns me is the long-term trajectory \nbecause what we see is that right now we are in the good times, \nin effect, even though the deficits are at record levels, \nbecause we have these substantial trust fund surpluses. But \nlook what happens when the trust funds--the green bar is Social \nSecurity, the blue is Medicare--when they go cash negative, at \nthat very time the cost of the tax cuts explodes."
break,break,break,break
"","","conrad","Senator Conrad","    And I will just end with this chart that shows the \nPresident's own analysis of the long-term budget circumstance. \nThis shows that the current situation, record deficits, is the \ngood times; that when the baby boomers retire and the \nPresident's tax cuts go fully into effect, these deficits go \nright off the cliff. And so I think we have to alert the \nAmerican people that we are on a course that is simply not \nsustainable, that fundamentally threatens the economic security \nof the country, and the biggest way it does is upward pressure \non interest rates and the biggest way it does is people \ndeciding they don't want to hold dollar-denominated assets."
break,break,break,break
"","","conrad","Senator Conrad","    And I would just conclude with an article that is in the \nWashington Post this morning saying, ``Asian central bank \nconsider alternatives to big dollar holdings.'' Already we have \nseen the dollar go down almost 30 percent against the euro in \nthe last 18 months. I think we have to get very, very serious \nabout the fiscal condition of the country."
break,break,break,break
"","","conrad","Senator Conrad","    Thank you.\n    Chairman Nickles. Senator Conrad, thank you very much.\n    I would just make a couple of comments, and then we will \nrecognize Director Bolten. A couple of comments.\n    One, we had a big challenge last year to pass last year's \nbudget. It was not easy. Last year we were facing still the \nend, I guess, of a very soft economy. The stock market was \nstill very, very weak. And we were fighting a war. Our budget \nwe passed last year funded both of those. We did pass a growth \npackage, and the growth package worked. The stock market is up \nsubstantially. We did fund the war.\n    If you look at the chart, it shows that actually the \neconomy started declining in the year 2000. Some people want to \nsay, well, it was the Bush recession. But if you actually \nnotice, it started declining substantially in the year 2000. \nThe Nasdaq declined by 50 percent in the year 2000. And we had \na very soft economy.\n    insert chart\n    So we needed to do some things that would change it. The \nstimulus package that we passed--and I might mention that the \nDemocrats had a stimulus package and we had a stimulus package, \nand ours was supported by a bipartisan majority. It became law, \nand it did work.\n    If you look at the next chart, the stock market has grown \nby over $4 trillion since last February. We did cut the tax on \ndividends in half. Maybe some people want to double the tax on \ndividends again, but we made the tax on dividends 15 percent. \nWe made the tax on cap gains at 15 percent, and I think both \ngreatly helped our economy, as evidenced by the significant \nappreciation we have seen in the stock market. I think the Dow \nJones is up 25 percent, Nasdaq up 50 percent. That is a big \nchange, and I think in large part because of the changes that \nwe made and that we proposed."
break,break,break,break
"","","conrad","Senator Conrad","    If you look at the next chart, there was a significant \nappreciation in jobs. You keep hearing about the jobs. The \nhousehold survey shows that we are at an all-time high in \nemployment. There is a difference between the household survey \nand the wage survey, and I do not need to debate that. But it \nshows, at least if you look at this trend, the employment \nsituation has improved rather substantially."
break,break,break,break
"","","conrad","Senator Conrad","    But I do not disagree with Senator Conrad. I think the \nchallenges are very great before us. We are spending a lot more \nthan we are taking in, and the deficits are way too high. And I \nwill tell my friend and colleague Senator Conrad, I will work \nwith him to get them down. I will work with anybody, Democrat \nor Republican, to reduce these deficits. I think they are way \ntoo high.\n    If you look at the next chart, it kind of shows just the \nhistory of where we are. The green on the chart shows the \nrevenues, and you can revenues have actually declined. That has \nnever happened before. We had 3 years in a row really where \nrevenues did not grow. Actually, they declined.\n    If you look at the history, Senator Byrd, revenues over \nhistory in the United States almost always had some growth. But \nwe actually have had a very significant reduction, not because \nof the tax cut, mostly because of the recession. The tax cut \nhad some play in it, but the recession was the biggest reason \nwhy you had such a significant drop from over $2 trillion to \nabout $1.78 trillion. I notice, Senator, from the figures \nestimated by both CBO and OMB, very little revenue growth \nbetween 2003 and 2004. I hope the 2004 revenues are \nunderestimated, and my guess is they are. I will just say that. \nWe will find out 10 months from now, but I think they \nunderestimated the amount of revenue that we are going to \nreceive in 2004. I am not sure about your 2005 number, but we \nwill talk about that.\n    But you notice in the red line, expenditures have gone up \nevery single year. So we had a reduction in revenues, mostly \nbecause of the recession, somewhat because of the tax cut, but \nwe had an increase in the red line that is outlays."
break,break,break,break
