surname,speaker,previous_surname,previous_speaker,speech
break,break,break,break,break
"skelton","Mr. Skelton","","","    Mr. Chairman, thank you. This is a very \nimportant hearing. We will listen very closely to your thoughts \nand recommendations. We do know some of them and appreciate you \nbeing with us. We are somewhat at a disadvantage because we \nonly received the Administration's proposed budget legislation \nlate yesterday afternoon, although we have talked about these \nissues for quite some time. It is critical to look at the words \non the page and how each approaches include or are pieced \ntogether.\n    And Mr. Bradbury, from you I would like to know why in the \nworld it took so long for this proposal to get to us. We have \nbeen talking about it for some time. We have been waiting to \nassist the President, provide him with important tools. It is \nterribly important that we pass some. In light of the Hamdan \ndecision we can't go on in limbo. We must protect our troops \nand front line. We must be as stern and yet as fair as \npossible.\n    One approach would be for the war military commissions as \nthey exist under the Uniform Code of Military Justice (UCMJ), \nwhich is mentioned in UCMJ, or is this a proposal of a new kind \nfor a new court under military jurisdiction? Unlike other \nspecialized courts such as the Foreign Intelligence \nSurveillance Act (FISA) court that is in existence, although \nnot in use as we know, a couple of key principles to evaluate \nthis is will this allow us to quickly and successfully \nprosecute terrorists? Will this system meet the requirements \nclearly laid out in by the Supreme Court in the Hamdan case? \nHow closely does it adhere if we take this approach to the \nUniform Code of Military Justice and does it rigorously \nmaintain standards that protect American forces on the \nbattlefield?\n    Well, gentlemen, we are looking forward to your views. We \nlook forward to your thoughts on how the proposed legislation \nis enshrined in the Geneva Convention, including Common Article \n3, but like I say, the most important thing is to protect our \ntroops on the battlefield, to have swift justice and as only \nAmericans can give fair justice.\n    Thank you, Mr. Chairman.\n    The Chairman. I thank the gentleman. And Mr. Bradbury, why \ndon't you tee this thing up for us and tell us about the \nAdministration's proposal?"
break,break,break,break,break
"","","skelton","Mr. Skelton","  STATEMENT OF STEVEN G."
break,break,break,break,break
"","","skelton","Mr. Skelton","    Mr. Bradbury. Thank you, Mr. Chairman, Ranking Member \nSkelton and distinguished members of this committee.\n    The President announced yesterday that 14 senior members of \nal Qaeda had been transferred to the U.S. Naval Base at \nGuantanamo Bay. These men include those who orchestrated the \nmurders of nearly 3,000 Americans on 9/11, the attack on the \nUSS Cole, and the bombings of the American embassies in Kenya \nand Tanzania. In U.S. custody these individuals provided \nintelligence invaluable in the war on terror that has prevented \nattacks on the United States and saved American lives. As the \nPresident stated, the time now has come for the United States \nto prosecute these and other terrorists for the atrocities of \n9/11 and their own war crimes.\n    Yesterday the President sent to Congress a Military \nCommission bill that will permit us to bring these terrorists \nto justice before fair and effective tribunals. This \nlegislative proposal reflects the outcome of two months of \nintensive discussions within and across the executive branch \nand between the political branches of government. We have \nconsulted extensively with Members of Congress and their \nstaffs. These discussions have been equally extensive, even \nmore so, within the Administration and have included input from \nthe military lawyers in all branches of the armed services, \nincluding the TJAGs who are here today. They and their people \nhave been active participants in our deliberations and many of \ntheir comments have been incorporated into the draft now before \nCongress.\n    The proposed legislation would enact a new Code of Military \nCommissions modeled on the courts-martial procedures of the \nUniform Code of Military Justice, or the UCMJ, but adapted for \nuse in the special context of military commission trials.\n    These military commission procedures would provide for \nfundamentally fair trials. The accused will know the charges \nagainst him. He will be presumed innocent until proven guilty \nbeyond a reasonable doubt. He will have a right to counsel, \nincluding an appointed military defense counsel, and the \nability to retain private counsel. He will be given a \nreasonable opportunity to obtain witnesses and other evidence, \nincluding evidence in the possession of the government. The \nprosecution will be required to disclose exculpatory evidence, \nevidence known to it. The accused will have the right to cross-\nexamine witnesses who testify for the prosecution. He will have \nthe right not to testify against himself. Evidence may be \nadmitted only if the military judge finds that it would have \nprobative value to a reasonable person, and it must be excluded \nif its probative value is substantially outweighed by the \ndanger of unfair prejudice. The accused will have the right to \nat least two appeals from any conviction, including an appeal \nto an Article 3 court, and he may not be tried a second time \nfor the same offense.\n    The new Code of Military Commissions would differ in \nsignificant respects from the military commission procedures \nestablished by the Administration before Hamdan. The presiding \nofficer would be a certified military judge with the \ntraditional authority of the judge to make final rulings at \ntrial on law and evidence, just as in courts-martial. The \nminimum number of commission members would be increased to five \nfrom three. In death cases we would require a minimum of 12 \nmembers who would have to vote unanimously before a death \nsentence could be imposed.\n    While the President's legislation tracks the UCMJ, in many \nrespects it departs from court-martial procedures where \napplying them would be inappropriate or impractical. For \ninstance, we do not incorporate into the legislation the UCMJ's \nMiranda type protections for U.S. military personnel. Nor do we \nincorporate the pre-charging investigation under Article 32. \nTerrorists are not entitled to these protections, which might \nfrustrate interrogations vital to our national security.\n    The draft legislation also provides for the introduction of \nall probative and reliable evidence, including hearsay \nevidence. Military commissions must try crimes based on \nevidence collected everywhere from the battlefields in \nAfghanistan to foreign terrorist safe houses, and therefore \nthey can not apply the strict rules of evidence appropriate for \npeacetime or court-martial trials.\n    The draft legislation also provides that under very limited \ncircumstances classified evidence may be considered by the \ncommission outside the presence of the accused. In the midst of \nthe current conflict, we cannot share with captured terrorists \nthe highly sensitive intelligence relevant to some military \ncommission prosecutions. We believe it critical to ensure that \nmilitary commissions have the discretion to admit classified \nevidence not shared with the accused in extraordinary \ncircumstances.\n    The circumstances for exclusion will be detailed and \nnarrowly defined, and the military judge will be required to \nfind that exclusion is necessary and consistent with the \naccused's rights to a fair trial. These will not be trials in \nabsentia. These procedures, properly administered by the \nmilitary judge, would strike the appropriate balance between \nsafeguarding our Nation's secrets and ensuring a fair trial of \nthe accused.\n    The legislation submitted by the President, Mr. Chairman, \nalso addresses, as you stated, the Supreme Court's ruling that \nCommon Article 3 applies to our armed conflict with al Qaeda. \nThe United States has never before applied Common Article 3 to \na conflict with international terrorists. Common Article 3 \ncontains certain vague prohibitions, including a prohibition \non, quote, outrages upon human dignity, in particular \nhumiliating and degrading treatment. These terms are \nsusceptible of uncertain and unpredictable application, and the \nSupreme Court has stated that courts may look to international \ntribunals in interpreting these terms. Therefore, without \nclarification the meaning of Common Article 3, which is the \nstandard that now applies to the conduct of U.S. personnel in \nthe war on terror, would be informed by the evolving \ninterpretations of tribunals and governments outside the United \nStates. This will create unacceptable uncertainty for U.S. \npersonnel, both military and intelligence personnel, who handle \ndetainees in the war on terror.\n    Let me be clear, as the President stated yesterday, the \nUnited States does not torture and the President has not and \nwill not authorize torture. The President also supports and the \nUnited States is committed to complying with the McCain \nAmendment to the Detainee Treatment Act, which prohibits cruel, \ninhumane, and degrading treatment as defined in U.S. law by \nreference to our own constitutional standards.\n    Because the standards governing the treatment of detainees \nby United States personnel should be certain and defined \nclearly by U.S. law, the President's legislation would define \nour obligations under Common Article 3 by reference to the U.S. \nconstitutional standards already approved by Congress in the \nMcCain Amendment. Congress rightly assumed that the McCain \nAmendment provided an acceptable and appropriate baseline to \ngovernment of the treatment of detainees on the war on terror \nand that standard fully satisfies United States obligations \nunder international law.\n    The Administration also believes that we owe it to those \ncalled upon to handle detainees in the war on terror to ensure \nthat legislation addressing the Hamdan decision brings clarity \nand certainty to the War Crimes Act. To that end, the proposed \nlegislation sets forth a definite and clear list of offenses \nserious enough to be considered war crimes punishable as the \nmost serious breaches of Common Article 3, including clear and \nserious outrages upon human dignity such as rape, sexual \nassault and conducting human experiments.\n    Mr. Chairman, I look forward to discussing these subjects \nwith the committee this morning, and I thank you and the \ncommittee.\n    The Chairman. Mr. Bradbury, thank you for a very concise \nopening statement, and gentlemen, the reason we have asked your \nattendance this morning is to reflect on and give us your \nevaluation of the Administration's proposals. So I hope you \nwere listening to what the high points or the important points \nespecially with respect to classified treatment of classified \nevidence and hearsay evidence. And if you would give us your \nthoughts on the Administration's proposal that would instruct \nus greatly.\n    So, and I just might comment. I was kind of surprised. We \nwent over--we have done some hearings on this area and when we \ndid the side by side and we looked at Nuremburg and we looked \nat the other tribunals, it occurred to me that the--that first \nI think a number of the members, myself included, were \nsurprised that hearsay evidence is allowed in varying degrees \nin these tribunals, but it also appeared to me that at \nNuremburg when we were trying the Nazi war criminals, we had \nthe advantage of thousands of witnesses in some cases who had \nparticipated in the capitulated government and were available \nto testify against Nazi leadership.\n    The war on terror in this case continues and many of the \nstatements that were linked, much of the evidence I would think \ninstinctively because I haven't seen the case against people \nlike Khalid Sheikh Mohammed, who is thought by our intelligence \ncommunity to be the mastermind behind the strike on America on \n9/11, that much of the evidence that will be forthcoming in the \nnear term with these immediate cases that are going to be set \nup for prosecution and over the years will be evidence that is \nin fact hearsay evidence. It would also occur to me that a \ngreat deal of it is going to be classified evidence. So dealing \nwith those two areas, I think in a way that will allow us to \nhave an effective prosecution is going to be a major challenge \nfor us.\n    So just having said that, why don't we walk down the line \nhere and gentlemen, we are very interested in your comments and \nyour evaluation of the Administration's proposal.\n    General Black."
break,break,break,break,break
"","","skelton","Mr. Skelton","STATEMENT OF MAJ."
break,break,break,break,break
"","","skelton","Mr. Skelton","    General Black. Thank you, Mr. Chairman, Ranking Member \nSkelton, and members of the committee. I would like to thank \nyou for the opportunity to appear before you today and for the \ncommittee's timely and thoughtful consideration of these \nsignificant issues.\n    I would also like to express my heartfelt gratitude to the \nmembers and staff of this committee for your continuing hard \nwork on behalf of the Army's soldiers, civilians and family \nmembers. We really do appreciate what you do each and every \nday.\n    At the outset, I will tell you that military commissions \nare a necessary forum for the trial of enemy combatants \ncaptured in the Global War on Terror (GWOT). They are legally \nviable and pragmatically vital. They allow us to maintain the \nmaximum flexibility in coping with these combatants we find on \nthe current battlefield. Military commissions are well grounded \nin history and the Uniform Code of Military Justice and provide \nan indispensable tool to ensure justice under the rule of law.\n    The Hamdan decision has reinforced our need to ensure \nmilitary commissions are reflective of American values such as \ndue process and the rule of law. Our task has been to balance \nthe utility of the military commissions with these values that \nare foundational to our democratic society. We have been \nworking within the government to assemble a product that will \ndo this, that will not only protect this great Nation from \nthose who are committed to destroy it but that will \nsimultaneously uphold the principles that distinguish this \nNation from those who attack it.\n    We are prepared to work together with the Congress and look \nforward to being participants in the continuing developmental \nprocess. And with that, Mr. Chairman, I look forward to your \nquestions.\n    The Chairman. Thank you, General Black. For the record all \nstatements, without objection, will be taken, all written \nstatements will be taken into the record and feel free to \nsummarize your statements. Let me just ask our panel we \nunderstand that you are ready to work with the Congress and you \nfeel this is a--you have opinions on whether this is a good \nproduct or not a good product. We would like to hear that, but \nI would also like to hear your thoughts especially on these \narea of classified evidence, hearsay evidence, evidence \nobtained by coercion, some of these challenges that we are \ngoing to have to meet as we put this construct together. So if \nyou could comment on that, that would be greatly appreciated.\n    So Admiral MacDonald, thank you for being with us today."
