surname,speaker,previous_surname,previous_speaker,speech
break,break,break,break,break
"dorgan","Senator Dorgan","","","    The hearing will come to order.\n    This is a hearing of the Senate Commerce Committee. We have \na hearing today on broadband providers and consumer privacy, a \nsubject which is interesting and new, relatively new, to this \nCommittee. It is the second of a number of hearings on this \nsubject.\n    I wish all of you good morning.\n    I am joined by Senator Hutchison who is the Ranking Member. \nSenator Inouye is not able to be with us and has asked me to \nchair the hearing. I chaired the previous hearing on this \nsubject as well at his request, and I am happy to do that.\n    This hearing is to provide an examination of the privacy \nrights of Internet users and the practices of broadband \nproviders. The Commerce Committee has had a long interest in \nthe subject of protecting privacy, and now I feel we need to \ntake a closer look at Internet users' privacy as the field of \nonline advertising develops.\n    I want to make it clear that I understand and I think all \nof my colleagues in the Congress would understand that there \nare many benefits to online advertising. It is an architecture \nthat is important to our economy. It allows many of the sites \nand services that we all know and understand to grow and \nthrive. So this is not an inquiry about whether advertising is \nrelevant or important. Advertising on the Internet plays an \nimportant role in Internet commerce.\n    While most of the conversation about Internet advertising \nin the past years has been focused on economic benefits, \nhowever, consumers say in surveys that they worry about \nprivacy. Survey results released today from Consumer Reports \nshows that 72 percent of consumers are concerned that their \nonline behavior is being tracked or profiled, and they are \nconcerned about that. The poll found that 93 percent of \nAmericans think Internet companies should always ask permission \nbefore using personal information.\n    I think it is the case that the invisibility of data \ncollection practices and users' ability to control their \ninformation is a concern, and I think it is time that the \nSenate and regulators try to understand and focus on what are \nthe privacy questions and the aspects of the issue of privacy \nthat we should be dealing with.\n    In July, we held a hearing on privacy to examine concerns \nabout consumers being profiled and being tracked online. There \nis a lot the Committee has yet to learn about data collection \npractices. We learned some things at the last hearing. We heard \nfrom NebuAd, a company that was working with some Internet \nservice providers to gain access to the content on their \nnetworks in order to provide advertisers profiles of broadband \nproviders' customers. NebuAd later halted those plans.\n    In July, the broadband providers were not able to attend \nour hearing. For many of them, this was a new area, and today \nwe appreciate the participation of AT&T, Verizon, and Time \nWarner Cable. It should be noted that these companies had not \npreviously agreed to provide customer data to NebuAd or similar \ncompanies.\n    We also appreciate the participation today of Public \nKnowledge at this hearing.\n    We will focus on privacy expectations for customers of \nInternet service providers. People do expose themselves online \nby where they go and what they do, and often type in sensitive \ninformation, personal information, and financial information. \nWe have very little competition in the broadband market. As a \nmatter of fact, around most of this country, most Americans \nhave one or at the most perhaps two choices for broadband. And \nas broadband service is so vital to the American people and to \nour communities, we want to make sure that providers are \nrespecting the privacy protections of consumers and that those \nprotections are in place. Internet service providers have \naccess to all of that customer's information and behavior, and \nthe question is what is being done with it.\n    Again, let me emphasize that I appreciate the Internet \nservice providers being willing to come to us today and talk \nabout these issues because the issues are not just important to \npolicymakers. These issues I think are important in the long \nterm to Internet service providers as well.\n    I do think we need to update our privacy laws and we need \nto ensure we have similar protection across platforms. We need \nto protect sensitive information, make sure customers know what \ncompanies are doing with their information so that customers \ncan make informed choices about their participation, and are \ngiven clear information about opt-in or dealing with other \nregimes that might be established.\n    This is the second hearing, and I assume that the Commerce \nCommittee will want to hear more as we enter the next session \nof Congress. Now the Committee is here to listen and to thank \nthe witnesses for testifying.\n    Let me call on my colleague from Texas, Senator Hutchison."
break,break,break,break,break
"","","dorgan","Senator Dorgan","            STATEMENT OF HON."
break,break,break,break,break
"hutchison","Senator Hutchison","dorgan","Senator Dorgan","    Well, thank you, Senator Dorgan. I \nappreciate your calling attention to this issue, and I want to \nsay that it is an important issue that we look at because we \nknow that there are many advertising opportunities now on the \nInternet, which is a good thing, as the Senator said. It is \ngood for the economy. It is also good for business to be able \nto target advertising and be able to have efficient use of the \nadvertising dollars.\n    I also think it is helpful to consumers to be able to find \nthe products they are looking for, the services that they are \nlooking for in a targeted way, and that provides more free \nservice on the Internet, which is what we all want. So that is \nthe good side of advertising.\n    On the other side, we surely need to be informed. Consumers \nneed to be informed about what online entities are doing with \ntheir personal data information, and of course, since so many, \nespecially in our rural areas, depend on broadband for \ncommerce, as well as health care and education, people are \nputting more of their personal information online. So I think \ntransparency and disclosure are very important.\n    I would say I hope we do not charge into legislating in \nthis area before we do fully understand what is possible, what \nis not possible, what is helpful, and what is not helpful, and \nwhat would help the right type of opportunities but not hinder \nthe overall ways that we can have access to advertising. So it \nis a complicated area and one that we ought to look at, fully \nunderstand before we rush into legislation that could curb our \neconomy.\n    I want to say that I am not going to be able to stay. I \nhave to be on the floor at 10:30, but I appreciate your calling \nthis hearing and I will certainly look at the testimony later."
"dorgan","Senator Dorgan","hutchison","Senator Hutchison","    Senator Hutchison, thank you very much.\n    I share the view. I do not think that there will be a \nstirring here to rush toward some sort of legislative approach. \nI think, first, it is very important that we understand this. \nThere may well need to be legislative solutions at some point \nin the future, but first, I think it is a complicated area and \nwe need to understand it. I certainly agree with that.\n    Senator Vitter?"
break,break,break,break,break
"","","dorgan","Senator Dorgan","                STATEMENT OF HON."
break,break,break,break,break
"vitter","Senator Vitter","dorgan","Senator Dorgan","    Thank you very much, Mr. Chairman, for \ncalling this hearing as well. We examined this issue earlier \nthis year in a hearing with other online companies. So I am \nlooking forward to the views of these Internet service \nproviders and others on this very important issue.\n    I agree we need to look at this carefully. We need to \nattack bad behavior. We need to do it in a way that will not be \nout of date tomorrow as technology advances, and I think we \nneed to do it in a way that is not technology-specific, picking \nwinners and losers, but sets a broad-based policy in a way that \ncan effectively be implemented.\n    So I look forward to listening closely to the testimony to \nfigure out how we can best accomplish that. Thank you."
"dorgan","Senator Dorgan","vitter","Senator Vitter","    Thank you, Senator Vitter.\n    We have four witnesses today. We will, by consent, include \ntheir entire statements as a part of the permanent record and \nask the witnesses to summarize their statements.\n    First, we will hear from Ms. Dorothy Attwood, who is the \nSenior Vice President for Public Policy and Chief Privacy \nOfficer for AT&T Services. Ms. Attwood, thank you for being \nwith us. You may proceed."
break,break,break,break,break
"","","dorgan","Senator Dorgan","                  STATEMENT OF DOROTHY ATTWOOD"
break,break,break,break,break
"","","dorgan","Senator Dorgan","              SENIOR VICE PRESIDENT, PUBLIC POLICY"
break,break,break,break,break
"","","dorgan","Senator Dorgan","              AND CHIEF PRIVACY OFFICER, AT&T INC."
break,break,break,break,break
"","","dorgan","Senator Dorgan","    Ms. Attwood. Thank you very much. Thank you, Senator Dorgan \nand other Committee Members, for providing AT&T the opportunity \nto discuss online behavioral advertising and its important \nprivacy implications.\n    My name is Dorothy Attwood and I am AT&T's Senior Vice \nPresident and Chief Privacy Officer.\n    Senator Dorgan, AT&T appreciates your leadership on this \nissue. It has fomented a necessary and productive discussion \namong all key stakeholders, and it has encouraged our industry \nto listen closely to our customers and take a careful look at \nhow best to engage in different modes of online advertising. \nIndeed, you will hear today a remarkable consensus about the \noverriding importance of a consumer-focused approach to online \nadvertising and the need to ensure that consumers maintain \nultimate and effective control over their information.\n    American consumers benefit immeasurably from our Internet \necosystem, which is rich in innovative services and varied \ncontent information and entertainment. Online advertising is a \nkey component of this ecosystem as it fuels investment and \nenables many free and discounted services and funds today's \nvast diversity of Internet content.\n    But online advertising, especially new forms of highly \ntargeted behavioral advertising, also raise important consumer \nprivacy concerns that policymakers and industry must carefully \nweigh. Setting proper policy in this area is crucial to \nmaximizing the consumer benefit of a healthy Internet \nmarketplace.\n    Online behavioral advertising is the practice of tracking a \nconsumer's web browsing and search activity across unrelated \nWebsites. Notably, both the tracking and the association of the \nwebsites are largely invisible to the end user and the \nresulting information is used to create a distinct user profile \nand deliver highly targeted or personalized advertising. It is, \nindeed, a next generation capability and it can clearly be \ndistinguished from the simple and longstanding practice of \ntracking a consumer's use of an individual Website or obviously \nrelated Websites.\n    AT&T does not today engage in online behavioral advertising \neither through the so-called ``deep packet'' inspection or any \nother technique. Of course, if done properly, the practice can \nbe valuable to consumers and can measurably improve their \nonline experience. But we believe just as strongly that it is \nessential to include strong privacy protections in the design \nof any online behavioral advertising program and that any \nprivacy framework should shed clarifying light on what is today \nsomething quite invisible to the consumer.\n    Thus, we will engage in online behavioral advertising only \nafter validating the various technologies and only after \nestablishing clear and consistent methods to ensure the \nprotection of and ultimate consumer control over consumer \ninformation. Our deployment of any online behavioral \nadvertising practice will be governed by the imperative of \nmeaningful consent and a consumer-focused privacy framework \nbased on the following principles: transparency, customer \ncontrol, privacy protection, and customer value.\n    More specifically, we believe that a forward-looking \nadvertising practice requires a forward-looking customer notice \nand consent model. For this reason, AT&T will not use consumer \ninformation for online behavioral advertising without an \naffirmative advance action by the customer that is based on a \nclear explanation of how the consumer's action will affect the \nuse of her information. This means that a consumer's failure to \nact will not result in any collection and use of that \nconsumer's information for online behavioral advertising \npurposes by default.\n    Even though AT&T and most other Internet service providers \ndo not engage in online behavioral advertising, make no \nmistake, this practice is well underway today. Already ad \nnetworks and search engines track and store a vast trove of \ndata about consumers' online activities, and the technologies \nthey use have evolved just beyond tracking consumers' web \nsurfing activity at sites at which they sell advertising. They \nnow also have the ability to observe a user's entire web \nbrowsing experience at a granular level. If anything, this \nlargely invisible practice of ad networks and search engines \nraise at least the same privacy concerns as do other online \nbehavioral techniques that ISPs could employ.\n    For this reason, we believe that any privacy framework for \nonline behavioral advertising must apply to all entities \ninvolved in Internet advertising, including ad networks, search \nengines, and ISPs. A policy regime that applies only to one set \nof actors will arbitrarily favor one business model or \ntechnology over another, but most importantly represent only a \npartial and entirely unpredictable solution for consumers.\n    Thus, we urge all entities that engage in online behavioral \nadvertising, including especially those who already are \nengaging in the practice, to join AT&T in committing to a \npolicy of advance, affirmative consumer consent.\n    Again, thank you for the opportunity to speak here today, \nand I look forward to your questions."
break,break,break,break,break
"","","dorgan","Senator Dorgan","  <bullet> Transparency: Consumers must have full and complete notice \n        of what information will be collected, how it will be used, and \n        how it will be protected."
break,break,break,break,break
"","","dorgan","Senator Dorgan","  <bullet> Consumer Control: Consumers must have easily understood \n        tools that will allow them to exercise meaningful consent, \n        which should be a sacrosanct precondition to tracking online \n        activities to be used for online behavioral advertising."
break,break,break,break,break
"","","dorgan","Senator Dorgan","  <bullet> Privacy protection: The privacy of consumers/users and their \n        personal information will be vigorously protected, and we will \n        deploy technology to guard against unauthorized access to \n        personally identifiable information."
break,break,break,break,break
"","","dorgan","Senator Dorgan","  <bullet> Consumer Value: The consumer benefits of an online \n        behavioral advertising program include the ability to receive a \n        differentiated, secure Internet experience that provides \n        consumers with customized Internet advertisements that are \n        relevant to their interests. But we think the future is about \n        much more than just customized advertising. Consumers have \n        shown that in a world of almost limitless choices in the \n        content and services available on the Internet, they see great \n        value in being able to customize their unique online \n        experience. That is the ultimate promise of the technological \n        advances that are emerging in the market today.\nCall to Action\n    We believe these principles offer a rational approach to protecting \nconsumer privacy while allowing the market for Internet advertising and \nits related products and services to grow. But, in order for consumers \ntruly to be in control of their information, all entities involved in \nInternet advertising, including ad networks, search engines and ISPs, \nwill need to adhere to a consistent set of principles. A policy regime \nthat applies only to one set of actors will arbitrarily favor one \nbusiness model or technology over another and, more importantly, \nrepresent only a partial and entirely unpredictable solution for \nconsumers. After all, consumers do not want information and control \nwith respect to just a subset of potential online advertising or the \ntracking and targeting that might underlie those ads. Thus, we urge all \nentities that engage in online behavioral advertising--including \nespecially those who already engage in the practice--to join AT&T in \ncommitting to a policy of advance, affirmative consumer consent."
break,break,break,break,break
"dorgan","Senator Dorgan","dorgan","Senator Dorgan","    Ms. Attwood, thank you very much for your \ntestimony.\n    Next, we will hear from Mr. Peter Stern who is the Chief \nStrategy Officer for Time Warner Cable. Mr. Stern, you may \nproceed."
break,break,break,break,break
"","","dorgan","Senator Dorgan","   STATEMENT OF PETER STERN, EXECUTIVE VICE PRESIDENT, CHIEF \n              STRATEGY OFFICER, TIME WARNER CABLE"
break,break,break,break,break
"","","dorgan","Senator Dorgan","    Mr. Stern. Good morning, Mr. Chairman, Members of the \nCommittee. My name is Peter Stern. I am Executive Vice \nPresident and Chief Strategy Officer at Time Warner Cable.\n    I am pleased to testify before you today and appreciate \nthis Committee's diligent effort to grapple with the complex \nand still-evolving Internet advertising marketplace and to \nassess its impact on consumer privacy.\n    Presently, Time Warner Cable does not engage in targeted \nInternet advertising as an ISP or as a Website operator.\n    If Time Warner Cable decides to engage in such activities, \nour customers' privacy will be a fundamental consideration. The \nprotection of subscriber privacy is not only important as a \nmatter of public policy. Our ability to succeed depends on \nwinning and retaining the trust of our customers. Accordingly, \nwe support a framework that would provide consumers with the \nopportunity to affirmatively consent to receive online targeted \nadvertising.\n    We believe that achieving and sustaining our subscribers' \ntrust requires adhering to a privacy framework that addresses \nfour principles: first, giving customers control; second, \nproviding transparency and disclosure; third, safeguarding \npersonal information; and fourth, providing customers with \nvalue.\n    Let me also add, however, that any such framework can only \ntruly protect the privacy interests of consumers if it is \nuniversally adopted by all providers of targeted online \nadvertising. Quite simply, it makes no difference to a consumer \nwhether a targeted online ad is based on data collected by an \nISP, an ad network, or an applications provider. A framework \nthat leaves any provider uncovered would leave all users \nunprotected. In addition, common rules are the only way to \nensure all businesses can compete on a level playing field.\n    Let me elaborate briefly on the four principles I have \nmentioned.\n    First, customer control means consumers will be able to \nexercise affirmative consent before having their online \nactivities collected and used for targeted online advertising. \nInternet subscribers that decline to consent or fail to act \nshould not have their online activities tracked or used for \ntargeted online advertising. Control also means that the \nconsent mechanism should be easy to use. Customers should be \nfree to change their election at any time, and their election \nwill remain in effect unless they change it.\n    Second, transparency and disclosure means ensuring that a \ncustomer's consent to targeted online advertising is informed. \nThis means giving Internet users clear and timely notice \nregarding what is collected, how it is used, and what consumers \nneed to do if they do not want to participate. And by this, we \ndo not mean fine print. We mean prominent and plain English.\n    Third, safeguarding information means preventing \nunauthorized access to customers' personal information. It also \nmeans preventing disclosure or sale of such information to \nthird parties absent consent of the customer.\n    Last, providing value means offering targeted online \nadvertising in a manner that enhances the Internet experience \nfor consumers. Instead of a barrage of irrelevant ads, \nconsumers can receive ads tailored to reflect their interests. \nTargeted online advertising can also be used to protect \nconsumers from seeing ads they do not want. Advertising can be \na public good when it educates consumers about relevant \nchoices.\n    Most companies that provide services on the Internet are \npresently under no obligation to disclose or obtain consent for \nthe collection and use of consumers' online information. While \nsome provide disclosure and give consumers the ability to opt \nout, this falls short of the principle of consumer control I \nhave articulated.\n    Therefore, Time Warner Cable believes that the four \nprinciples I have outlined should serve as a policy framework \nthat would apply to all companies involved in targeted online \nadvertising. Time Warner Cable stands ready to work with this \nCommittee and other stakeholders to help foster the development \nand implementation of such a framework.\n    I thank the Members of this Committee for the opportunity \nto appear before you today on this important issue, and I would \nbe happy to answer any questions you might have."
break,break,break,break,break
"dorgan","Senator Dorgan","dorgan","Senator Dorgan","    Mr. Stern, thank you very much for being \nwith us.\n    Next, we will hear from Mr. Tom Tauke, the Executive Vice \nPresident of Public Affairs, Policy and Communications at \nVerizon Communications. Mr. Tauke, you may proceed."
break,break,break,break,break
"","","dorgan","Senator Dorgan","                 STATEMENT OF THOMAS J."
break,break,break,break,break
