surname,speaker,previous_surname,previous_speaker,speech
break,break,break,break,break
"dreier","Mr. Dreier","","","    Very sad.\n    The Chairman. I also want to thank the young chairman of \nthe Rules Committee, David Dreier, who is an energetic \nproponent for biennial budgeting and is a sponsor, the lead \nsponsor of this measure that we are considering today. And I \nthink that as we hear from David and others on this panel, we \nwill see where this is an idea that not only has great merit \nbut one which we should be moving forthrightly through this \nCongress.\n    This hearing before the Subcommittee on Legislative and \nBudget Process will examine H.R. 114, the Biennial Budgeting \nand Appropriations Act of 2011. Biennial budgeting has been a \ntopic of reform since 1977 in the United States, and we will \nsee the interest that surrounds that and the ideas which I \nbelieve today make it very important for us to discuss for not \nonly the success of our budgeting process but the success of \nthe American people. Perhaps John Adams may have exaggerated a \nbit when he said, and I quote, ``But when progress has been \nmade, it has been because policymakers have absorbed lessons \nfrom past experience and applied them in ways that have \nimproved our processes for governance.''\n    Ladies and gentlemen, that is a good quote, and we should \nlearn from not only the past but also good ideas for the \nfuture. The budget process can be an effective tool and in fact \nshould be done more effectively. But, as we see, biennial \nbudgeting alleviates, I think, the burden that this Congress \nfaces every year to beat multiple deadlines in both the budget \nand appropriations processes. That is the question and the \ntest: Can we make both of these processes work to better our \ncircumstances?\n    So the hearing today is going to examine that question. We \nhave several distinguished Members of Congress, and obviously \noutside witnesses, who would choose to make comments and \nprovide us with policy aspects for this important issue. This \nhearing is not intended for the analysis of budget specifics, \nfunding initiatives or priorities, but, rather, to step back \nand to look at the budget process and to look at recent \ninteraction between the houses of Congress with the executive \nbranch and to find out where we can be more effective in this \nprocess.\n    Most of us who are sitting on the dais or testifying this \nmorning have a fairly established belief that biennial \nbudgeting will or could be seen as a useful tool. I don't know \nwhether our fiscal house would be better or worse by its use, \nbut we want to examine that. But I do know that today marks the \n1000th day since the Democratic-controlled Senate has passed a \nbudget, meaning it is a tough process, and meanwhile Congress \nhas failed to pass appropriations bills in a timely manner \nsince fiscal year 1997, which was 15 years ago. Once again, \nthat tells you how difficult the process is.\n    Are we at a point where the consensus of this legislative \nbody is where we no longer should make hard choices to support \nthe fiscal health of this Nation? That is a good question. And, \nobviously, if the process has not worked for 15 years, it is a \nquestion that we should answer. I think we do need to look at \nthe process and make the hard choices to ensure that our \ngovernment works properly.\n    Do we employ further reforms such as biennial budgeting in \nan effort to reverse the course of the last 1000 days? I would \nsay we should build in some process that works well and that \nthe American people can count on, as well as the two bodies as \nwe move forward.\n    I understand all too well the need for ideological \nattentiveness. I do understand that we have and see things from \ndifferent lenses and different angles, but at least the current \nHouse leadership has put forward ideas allowing for a \ndeliberative process.\n    On January 17th of this new year, Majority Leader Harry \nReid's deputy chief of staff and policy director all but \nadmitted that Senate Democrats would again not even begin the \nwork on a budget in the Senate. I think that is a betrayal of \ncongressional process. I believe we need a clear record that \nthe American people can have confidence in and that both bodies \nshould find a way to work together through proper planning.\n    Most importantly, we must become more efficient as a \ngovernment. And I am a cosponsor of H.R. 114 because I believe \nthat utilizing the same long-term planning, just as I did in \nthe private sector for 16 years, allows us to prepare more \neffectively for the future. If we intend for government to be \neffective and efficient, we need to give them not just the \ntools, but the money and the authority to work properly.\n    The Congress cannot direct this country on a day-to-day or \nmonth-to-month existence, focusing not on the best fiscal \npractices, but really just on the short-term needs of the two \nparties. Longer Federal contracts provide the best opportunity \nto save taxpayers' dollars and dedicating more time to \noversight. However, we have effective people in our government \nwho can manage their business. We need to give them the tools \nwhere they can do that and make long-term decisions in the best \ninterests of not just the American people but the taxpayer \nalso.\n    I believe that at a time of skyrocketing debt and \nunparalleled spending, we must look for other solutions. We \nmust look above the deadlock of partisanship that has mired our \nbudgetary process, and we must make progress. Biennial \nbudgeting may be just one of those solutions, and I will commit \nthat this subcommittee will continue to pursue not only this \nidea but other ideas or plans that others, Members of Congress \nor those outside of Congress, have.\n    I am looking forward to listening to our colleagues and \nexperts so that I can hear their testimony. And obviously I \nwant us to know that Chairman David Dreier has pushed this idea \nfor many, many years, and he today has made sure that he would \nmake himself available for any remarks and to help us to \nunderstand his great idea."
break,break,break,break,break
"","","dreier","Mr. Dreier","    The Subcommittee will come to order.\n    Good morning and thank you for coming to our first Subcommittee \nhearing of the 112th Congress. I would like to welcome Ranking Member \nHastings and thank him for his continued assistance as this \nSubcommittee moves forward with hearings. I would also like to thank \nChairman Dreier who is an energetic proponent for biennial budgeting, \nand is the sponsor of the measure we will be considering today. I hope \nhe finds this hearing informative.\n    This hearing before the Subcommittee on Legislative and Budget \nProcess will examine H.R. 114, the Biennial Budgeting and \nAppropriations Act of 2011. Biennial budgeting has been a topic of \nreform since 1977 in the United States and as we see from the interest \nin this hearing, it continues today.\n    Perhaps John Adams may have exaggerated a bit when he said, ``But \nwhen progress has been made, it has been because policymakers have \nabsorbed lessons from past experience and applied them in ways that \nhave improved our processes for governance.'' The budget process can be \nan effective tool. But can biennial budgeting alleviate the burden that \nthis Congress faces every year to meet multiple deadlines in both the \nbudget and appropriations processes? That is the question that our \nhearing today will seek to answer through the testimony of several \ndistinguished Members of Congress and our outside witnesses.\n    This hearing is not intended for the analysis of budget specifics, \nfunding initiatives and priorities, but rather to step back and look at \nthe budget process, to look at the recent interactions between the \nHouses of Congress, and with Executive Branch, to see where we can \nprovide for more effectiveness.\n    Most of us who are sitting at the dais or testifying this morning \nhave a fairly established belief that biennial budgeting will or will \nnot be a useful tool. I don't know whether our fiscal house would be \nbetter or worse as a result of its use. But, I do know that today marks \nthe 1,000th day since the Democratic-controlled Senate last passed a \nBudget. And meanwhile, Congress has failed to pass appropriations bills \nin a timely manner since Fiscal Year 1997; 15 years ago.\n    Are we at a point where the consensus of this legislative body is \nthat we no longer should make hard choices to support the fiscal health \nof this Nation? Do we employ further reforms, such as biennial \nbudgeting, in an effort to reverse the course of the last 1,000 days, \nor should we resign the budget process to the scrapheap of historical \nCongressional reforms?\n    I understand all too well the need for ideological attentiveness. \nBut, at least the current House Leadership has put forward ideas and \nallowed for a deliberative process. On January 17th of this New Year, \nMajority Leader Harry Reid's Deputy Chief of Staff and Policy Director \nall but admitted that Senate Democrats would again not even begin work \non a budget. That is a shameful betrayal of a Congressional process \nthat has a clear track record of driving down wasteful spending through \nproper planning.\n    Most importantly, we must become more efficient as a government. I \nam a cosponsor of H.R. 114 because I believe that utilizing the same \nlong-term planning as the private sector allows us to prepare more \neffectively for the future. The Congress cannot direct this country on \na day-to-day or month-to-month existence, focused not on the best \nfiscal practices, but by short-term spending bridges. Longer federal \ncontracts provide the best opportunity to save taxpayer dollars, while \ndedicating more effort to oversight.\n    I believe that at this time of skyrocketing debt and unparalleled \nspending, we must look for solutions. We must rise above the deadlocked \npartisanship that has mired our budgetary planning in hopelessness. \nBiennial budgeting may just be one of the solutions and I will commit \nthat this subcommittee will continue to pursue any and every proposed \nplan that will restore order to our fiscal house.\n    I am looking forward to listening to our colleagues and experts \ntestify so I will yield back my time and recognize Chairman Dreier, a \nstaunch supporter of biennial budgeting during his tenure in Congress, \nfor any opening remarks he may have."
break,break,break,break,break
"","","dreier","Mr. Dreier","    The Chairman. So at this time I would like to, if I can, \ndefer to the gentleman, Mr. Polis."
break,break,break,break,break
"","","dreier","Mr. Dreier","OPENING STATEMENT OF THE HONORABLE JARED POLIS, A MEMBER OF THE \n                       COMMITTEE ON RULES"
break,break,break,break,break
"polis","Mr. Polis","dreier","Mr. Dreier","    Thank you, Mr. Chairman. I join Chairman \nSessions in welcoming our distinguished witnesses here today. \nThank you for appearing before our subcommittee hearing on H.R. \n114, the Biennial Budgeting and Appropriations Act of 2011, so \nwelcome to our subcommittee. Again, I think this idea certainly \nhas some merits. I, however, don't believe it is a fix-all or \nsomehow remedies all the problems we have with our budgetary \nprocess; and certainly while it has advantages, it also has \ndisadvantages, and I look forward to exploring those here \ntoday. And many Members will benefit from this information \nbecause I think it will be a close call between the advantages \nand the disadvantages that we will explore over the course of \nthis hearing. Ultimately, it doesn't solve the primary issues \nwith the dysfunction around our budgetary process. It doesn't \nmean that it is not or can't be a constructive step in its own \nright. Obviously if this body wanted to, we could agree to a \nbudget in 1 day or 1 week, but the budget process by its very \nnature is intensely political. We bring different values to \nthat discussion, and we have vociferous debates about the \nmerits of our respective budgets.\n    Even under this proposal in the off years, Congress would \nstill be required to make necessary changes, consider \nsupplemental spending, and would continue to argue over \nauthorizations and other revisions within the budget. So, too, \nthe fundamental challenge that this Congress has to balance the \nbudget is not affected one way or the other by this particular \nproposal, and I would hope that Congress and perhaps even the \nsubcommittee can, in fact, take up reforms that would lead to a \nbalanced budget and not just more predictability over time and \nsome of the other factors that this affects.\n    If both parties want to work together to ensure a smooth \nbudget process, they can do so now. They could also do so under \nthis proposal. This does not in any way, in my opinion, lead to \na better outcome with regard to budgeting. But, again from a \npredictability perspective and other factors, we look forward \nto exploring both the benefits and the costs of this particular \napproach.\n    We know that in a Federal budget process, we have a \npolitical debate, and making the Federal budget biennial won't \nstop those debates. It won't necessarily reduce our workload. \nIt will, for better or worse, transfer some power to the \nexecutive branch, which would have additional leeway during the \noff years, and that is a theme to explore here.\n    We have ample evidence from the States which we will look \nforward to discussing during the hearing as well. It is my \nunderstanding that 19 States have a biennial process, some of \nwhich only have a legislature that meets biennially; others \nhave a legislature that meets both years, but the budget \nprocess is only biennial. And we will look forward to receiving \nand being the beneficiaries of some of the learning from those \nStates that have both processes.\n    My home State of Colorado has an annual budgeting process, \nbut we will look forward to hearing about the evidence from the \nStates about whether this leads to less time spent on \nbudgeting, less overhead for budgeting, a better budget, a more \nbalanced budget, et cetera.\n    We really should be discussing the ways to use a Federal \nbudget to create jobs, order our economy, and balance the \nbudget, and I believe some structural changes to our budgetary \nprocess are needed to lead to a better outcome. Again, this \ndiscussion today should be an interesting one. I look forward \nto receiving the testimony about whether our budgetary process \nshould be annual or biennial, and I am hopeful that we can \nsubsequently engage in a discussion of some of the more serious \nissues concerning our lack of success in balancing our Federal \nbudget and in getting the House, the Senate, and the President \non one page. I thank the chairman for his time, and I yield \nback.\n    The Chairman. I thank the gentleman from Colorado not only \nfor his comments, I recognize he has private sector experience \nwhere he has seen the attributes of not only necessary and \nearly budgeting but also perhaps an opportunity to have an open \nmind that he has. Today I am also honored to have the chairman \nof the full committee, a man who is dedicated to making sure \nthat we follow not only regular order, but have ideas that are \nshared among not just our colleagues but really the general \npublic as well, and I would like to recognize the gentleman for \nsuch time as he would wish to----"
