surname,speaker,previous_surname,previous_speaker
break,break,break,break
"crapo","Senator Crapo","","","    Thank you, Mr. Chairman. There seems to be \nmore traction toward moving forward with housing reform than \nthere has been at any point during the 5-year conservatorships \nof Fannie Mae and Freddie Mac. Mr. Chairman, thank you for \nmaking this a top priority of the Committee during this \nCongress.\n    In March of this year, this subject became one of our first \nhearings, and now I look forward to working toward a solution \nwith you and all of the Senators of this Committee.\n    Many other people deserve credit for getting the ball \nmoving and getting it going forward well on this important \ntopic. Senators Corker and Warner and all of the cosponsors of \ntheir bill have worked collaboratively in developing a proposal \nthat will help shape our debate as we move forward, and I thank \nthem and their staffs for their hard work.\n    Senator Reed also has put a tremendous amount of work into \nhelping us get toward the right answers and the right \nlegislative language, and there are many other Senators on this \nCommittee who may not have introduced legislation but who have \nput a tremendous amount of thought and effort into the issue \nbehind the scenes advocating for a resolution.\n    Chairman Hensarling likewise deserves a lot of credit and \nour thanks for his work in moving a proposal out of the House \nFinancial Services Committee. In fact, given the President's \nrecent comments, it appears we now are experiencing the first \nmoment since the crisis that the White House, the Senate, and \nthe House are all moving forward or advocating for reform.\n    Given this circumstance, we must use this opportunity to \nconcentrate on building consensus around ending the \nconservatorships while building a stable secondary market that \nbrings back private capital and avoids repeating the mistakes \nof the past.\n    As I noted, a tremendous amount of work on this topic has \nalready been done by many of the Committee's Senators, and we \nmust not lose this momentum.\n    As such, the Banking Committee intends to hold a series of \nhearings to gain insight from experts, regulators, and \nstakeholders to ensure that the Committee moves forward in an \neducated fashion. These hearings will provide a more in-depth \nanalysis of some of the necessary components of reform with a \ngoal of marking up a bipartisan bill by the end of the year.\n    There will be costs and tradeoffs associated with every \ndecision that we make. As we evaluate those tradeoffs, I am \npleased to have before us a panel that represents decades of \nreal experience and study of our mortgage markets. I look \nforward to hearing from the witnesses, gaining their input and \nanalysis about what are the essential elements of any reform. \nIt will also be helpful to hear what questions we need to be \nasking to arrive at the best solutions.\n    Despite the tough decisions that lie ahead, our task is \nvital. For more than 5 years, our housing finance system has \nremained in limbo, unable to innovate or even function outside \nof a massive Government intervention. In those 5 years, we have \nseen other financial markets recover while watching the housing \nmarket remain stagnant. During those same 5 years, we watched \nthe bill to the American taxpayers rise to nearly $200 billion \nwhile simultaneously creating numerous legal questions that our \ncourts may be sorting out for years to come. This cannot be \nallowed to continue.\n    Chairman Johnson and I were able to work together with the \nother Senators on the Banking Committee to pass the Federal \nHousing Administration Solvency Act of 2013 out of Committee \nwith a large, bipartisan vote. As a Committee, we must re-\ncreate that consensus while turning our full attention to \nreforming the Government-sponsored entities and our broader \nhousing finance market.\n    Hopefully our past work and the further collaborating of \nour Senators has engendered a level of trust and good will that \ncan lead this Committee to a strong product with an equally \nstrong level of support.\n    Mr. Chairman, again I thank you, and I look forward to \nworking with you and all Members of the Committee as we move \nforward.\n    Chairman Johnson. Thank you, Senator Crapo.\n    Are there any other Members who would like to give a brief \nopening statement? Senator Tester."
break,break,break,break
"","","crapo","Senator Crapo","                STATEMENT OF SENATOR JON TESTER"
break,break,break,break
"tester","Senator Tester","crapo","Senator Crapo","    I would, and I apologize to Senator Corker \nright now because I know he hates these things, but I am not \ngoing to be here for the questions, so I have got to say this.\n    First of all, I want to thank the Chairman and Ranking \nMember for their opening statements. We have got an opportunity \nhere to do something good. I was sent to Washington, D.C., to \ntry to fix what is wrong with Washington, D.C. We can make \nexcuses up. We can talk about how we are too busy to do this. \nWe can talk about Syria. We can talk about the debt limit. We \ncan talk about all that stuff. But the bottom line is we can \nmulti-task, we must multi-task. And if we let this opportunity \nescape us by not working together and pushing it forward--the \nsame way we did with the FHA Solvency Act, I might add--then we \nare not doing our constituencies the services that they expect \nof us.\n    So I look forward to working with everybody on this \nCommittee to get the Warner-Corker bill across the finish line. \nThank you.\n    Chairman Johnson. Is there anyone else?"
break,break,break,break
"","","tester","Senator Tester","    Chairman Johnson. I would like to remind my colleagues that \nthe record will be open for the next 7 days for additional \nstatements and other materials.\n    Before we begin, I would like to introduce our witnesses \nwho are here with us today.\n    Our first witness is Ms. Julia Gordon, who is the director \nof housing finance and policy at the Center for American \nProgress.\n    Mr. Jerome Lienhard is the CEO of SunTrust Mortgage.\n    Mr. Richard Johns is the executive director of the \nStructured Finance Industry Group.\n    And, finally, we have Dr. Mark Zandi, chief economist at \nMoody's Analytics.\n    We welcome all of you here today and thank you for your \ntime.\n    Ms. Gordon, you may proceed."
break,break,break,break
"","","tester","Senator Tester","  STATEMENT OF JULIA GORDON, DIRECTOR OF HOUSING FINANCE AND \n              POLICY, CENTER FOR AMERICAN PROGRESS"
break,break,break,break
