surname,speaker,previous_surname,previous_speaker,speech
break,break,break,break,break
"chairman,","Hon. Dan Coats, Chairman,","","","                        Joint Economic Committee\n    It is fitting that on Tax Day, April 15, we are examining one of \nthe most vexing challenges for small business--our burdensome and \nincomprehensible tax code.\n    A quote by an unknown source represents the entrepreneurial spirit \nI have witnessed representing Hoosiers in Washington: ``Small business \nisn't for the faint of heart. It's for the brave, the patient and the \npersistent. It's for the overcomer.''\n    The small business owners I have met are brave, patient, and \npersistent. They are indeed overcomers. Despite the obstacles small \nbusinesses face, they are responsible for two-thirds of the net new \nprivate-sector jobs created in the United States. Our role as \nlegislators should be to ensure that the tax code is no longer a major \nobstacle to growth and jobs for these businesses.\n    Against the headwinds of the slowest recovery since 1960, small \nbusiness owners have to deal with a tax system that is hopelessly \ncomplex, full of provisions that expire every one or two years, riddled \nwith special exemptions, deductions, and preferences, and filled with \nnew penalties.\n    The Small Business Administration lists tax paperwork as the most \ncostly paperwork burden the Federal Government imposes on small \nbusinesses at $74 per hour or $1,500 per employee. It is not surprising \nthat nine out of 10 small business owners have to turn to an outside \npaid professional to figure out their taxes.\n    Today we will hear from witnesses who can discuss how tax policy is \naffecting the broad landscape of small businesses. We will also hear \ntwo stories of real businesses that will bring home how taxes affect \ncompanies on the ground.\n    We hear these stories every day:"
break,break,break,break,break
"","","chairman,","Hon. Dan Coats, Chairman,","    <bullet>  Stories of complexity. I can sympathize with business \nowners because I took two tax law courses in law school and am still \nbaffled by the tax code.\n    <bullet>  Stories of uncertainty, like the farm family unable to \nreplace outdated equipment because they are unsure whether small \nbusiness expensing or bonus deprecation will be in effect for the year, \nand at what level.\n    <bullet>  Stories of manufacturers hit with higher tax bills \nbecause the top individual tax rate rose, but without extra cash in the \nbusiness to pay the tax.\n    <bullet>  Stories of small businesses struggling under the weight \nof ObamaCare's taxes and mandates, wondering if they can afford to add \nmore workers or whether they should move employees to part-time status.\n    <bullet>  Stories of medical device makers, like one in Warsaw, \nIndiana, that develops orthopedic implants for children and had to \nshelve two important projects because of the medical device tax.\n    <bullet>  And stories of family-owned businesses with land, \nbuildings, equipment or inventory but without cash to pay the estate \ntax, worried the business won't survive to the next generation."
break,break,break,break,break
"","","chairman,","Hon. Dan Coats, Chairman,","    Tax Day is a perfect time to commit to not let another April 15 \npass before we finally tackle comprehensive, pro-growth tax reform. And \nwhile it is urgent and essential to lower our corporate tax rate, which \nis the highest in the developed world, we must not forget the millions \nof small businesses that pay taxes at the individual level and have \njust experienced rate increases of their own.\n    I look forward to hearing from our witnesses about how we can tear \ndown barriers to growth in our broken tax code.\n                               __________"
"chairman,","Hon. Kevin Brady, Vice Chairman,","chairman,","Hon. Dan Coats, Chairman,","                        Joint Economic Committee\n    Chairman Coats, Ranking Member Maloney, Members, and Distinguished \nWitnesses:\n    Even though the United States has technically been in a recovery \nfor more than five-and-half years, our economy remains stuck in second \ngear. Last year, our economy grew by 2.4 percent--that is barely above \nthe average annual growth .rate of 2.3 percent for this entire \ndisappointing recovery.\n    In this recovery, the rate of new business formation has lagged. \nNew and expanding small businesses have historically accounted for a \nlarge share of new jobs during expansions. Regrettably, this fountain \nof job creation has slowed significantly during this recovery compared \nwith past recoveries.\n    Our broken U.S. tax code is a major cause for this weak recovery:"
break,break,break,break,break
"","","chairman,","Hon. Kevin Brady, Vice Chairman,","    <bullet>  Our tax code is too costly, complex and unfair--but \nmostly unfair. Especially to hardworking taxpayers, small businesses \nand America's economy.\n    <bullet>  A national survey by Texas-based polling firm Baselice & \nAssociates shows 80 percent of voters support Congress ``acting now to \nfix the tax code by making it fairer, flatter and simpler.'' Eighty-six \npercent of Republicans support reform, followed by 79 percent of \nDemocrats and 76 percent of independent voters.\n    <bullet>  Americans agree: We need a simpler, fairer tax code \nthat's built for growth and makes our economy healthier. It should \nclose loopholes and limit deductions to lower tax rates for everybody. \nSmall businesses shouldn't pay higher tax rates than big businesses, \nand real reform should stop encouraging companies to shift jobs \noverseas.\n    <bullet>  I believe a 21st century tax code shouldn't raise taxes \nto bail out Washington's spending problem. It should limit spending, \nrein in the IRS and strengthen America's economy to begin paying down \nour national debt."
break,break,break,break,break
"","","chairman,","Hon. Kevin Brady, Vice Chairman,","    Today, I want to focus on a particular challenge confronting \nfarmers, ranchers, and small business owners--the death tax. All too \noften, families must sell their farms, ranches, and small businesses to \npay Uncle Sam's death tax. One fifth-generation Texas ranch I know-\nwhich started back in the 1800s--had to sell 2/3 of that historic land \nto pay the death tax. That's just wrong.\n    What is worse--if you can imagine it--is that the death tax is \nespecially destructive for women- and minority owned small businesses. \nThey're the fastest growing sector of small businesses and start-ups in \nthis country.\n    Bob Johnson, the founder of BET television, observed the death tax \n``continues to pose a serious threat to the likelihood that present-day \nAfrican American-owned businesses can be preserved as part of a \nfamily's long-term legacy.''\n    President Obama insists that the death tax is necessary to remedy \nincome inequality. Yet, that just isn't so. Former Vice Chairman of the \nFederal Reserve Board Alan Blinder found that only two percent of \nincome inequality can be explained by inherited wealth.\n    The death tax motivates the wealthy to reduce their savings and \nincrease their consumption spending now rather than pass their wealth \non to the next generation. The death tax actually increases the \nconsumption gap between the wealthy and the poor in America. Moreover, \nthe death tax leaves all Americans poorer as the productive investment \nin new buildings, equipment, and intellectual property--which those \nsavings would have funded--does not occur and the jobs that such \ninvestment would have generated are not created.\n    This reminds me of President Reagan's aphorism about our friends' \nknowing so much that isn't so.\n    Democrats claim that ``special use valuation'' is an alternative \nway to exempt farms, ranches, and small businesses from the death tax. \nWe've tried these gimmicks before. They don't work. They just throw \nadditional burdens and complexity on family businesses and tie them up \nin red tape for years after death.\n    Enough with the gimmicks and complicated workarounds. They don't \nwork. Right now, our country is facing a $1.5 trillion Growth Gap \ncompared with an average recovery since 1960. That means we're missing \n5.5 million private-sector jobs. The average family of four is missing \nalmost a thousand dollars a month. Our recovery is so bad, we're going \nto need 7.4 percent growth in real GDP each and every quarter just to \ncatch up to the average recovery by the time President Obama leaves the \nWhite House.\n    We need American entrepreneurs and family businesses to close that \ngap. They're the backbone, the engine of our economy. But the death tax \nhas robbed them of $1.1 trillion in capital stock. The Tax Foundation \nestimated that in 2005 the death tax cost American taxpayers $88.2 \nmillion and 2.3 million hours of effort just in compliance. Imagine if \nall of that could have been invested in new jobs and business \nopportunities. I don't think I need to stress to anyone here how \ndesperately we need that.\n    The Treasury collected $19.5 billion in estate and gift taxes over \nthe last 12 months. In contrast, the Treasury spends $9.9 billion per \nday. The death tax generates less than two days of federal spending.\n    This week, the House of Representatives will vote to repeal the \ndeath tax once and for all. I hope the Senate will join the House and \napprove this truly progressive legislation and send it to President \nObama.\n    I look forward to today's discussion with our witnesses.\n                               __________"
